#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4691.5394	81.8110	85.2198	4606.3196	4773.3504
logg	4.5803	0.0919	0.0872	4.4931	4.6722
[Fe/H]	-0.0403	0.1566	0.1832	-0.2235	0.1164
dist	6.5335	0.0147	0.0153	6.5182	6.5483
rad	0.8317	0.0512	0.0490	0.7827	0.8829
Av	0.0000	(FIXED)
grav_mass	0.9620	0.2432	0.2146	0.7474	1.2052
lum	0.3013	0.0438	0.0403	0.2609	0.3451
AD	1.1834	0.0727	0.0697	1.1137	1.2561
age	1.9769	8.0492	1.9336	0.0433	13.44365937683941
iso_mas	0.8294	0.0482	0.0804	0.6297	0.9717839015575531
eep	340.6423	18.7522	51.4173	191.2298	371.49264455338846
H_noise	0.9239	1.0371	0.5433	0.3807	1.9611
J_noise	0.8959	1.1349	0.5441	0.3518	2.0309
Ks_noise	0.8698	1.2855	0.5589	0.3109	2.1553
U_noise	0.0980	0.0795	0.0555	0.0425	0.1775
V_noise	0.0387	0.0402	0.0228	0.0159	0.0790
B_noise	0.0777	0.0428	0.0347	0.0430	0.1205
BT_noise	0.0661	0.0658	0.0400	0.0261	0.1319
VT_noise	0.0402	0.0372	0.0244	0.0158	0.0774
b_noise	0.1158	0.1279	0.0663	0.0494	0.2437
u_noise	1.4204	0.4005	0.2810	1.1394	1.8209
v_noise	0.3175	0.2313	0.1352	0.1823	0.5488
y_noise	0.1004	0.1266	0.0613	0.0390	0.2270
