#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4264.1436	83.7294	76.1176	4188.0259	4347.8730
logg	5.0894	0.2339	0.2111	4.8783	5.3233
[Fe/H]	-0.4287	0.5078	0.3337	-0.7624	0.0791
dist	92.8754	1.6267	1.4343	91.4411	94.5020
rad	0.6339	0.0202	0.0116	0.6224	0.6541
Av	0.0613	0.0337	0.0877	-0.0264	0.0950
grav_mass	1.7953	1.1547	0.8160	0.9793	2.9501
lum	0.1198	0.0109	0.0087	0.1111	0.1308
AD	0.0640	0.0020	0.0020	0.0620	0.0660
age	1.4590	9.8195	1.3063	0.0176	13.440525682231183
iso_mas	0.6518	0.0264	0.0320	0.5202	0.7283201044661194
eep	329.7696	11.9556	50.0995	171.5007	341.72512135882744
H_noise	0.0763	0.2571	0.0561	0.0202	0.3334
J_noise	0.0388	0.1522	0.0284	0.0104	0.1910
Ks_noise	0.0987	0.1251	0.0501	0.0486	0.2238
V_noise	0.1858	0.0622	0.1597	0.0262	0.2480
B_noise	0.0593	0.4513	0.0477	0.0116	0.5106
G_noise	0.0006	0.0006	0.0002	0.0004	0.0012
RP_noise	0.0045	0.0011	0.0039	0.0006	0.0056
BP_noise	0.0093	0.0022	0.0086	0.0007	0.0115
W1_noise	0.0655	0.1801	0.0461	0.0194	0.2456
W2_noise	0.0451	0.0472	0.0245	0.0205	0.0923
