# Filter Magnitude Uncertainty
2MASS_H 3.2980 0.2600
2MASS_J 3.8940 0.2900
2MASS_Ks 2.9620 0.2880
GROUND_JOHNSON_U 9.2470 0.0202
GROUND_JOHNSON_V 6.5980 0.0040
GROUND_JOHNSON_B 7.9610 0.0080
TYCHO_B_MvB 8.3400 0.0160
TYCHO_V_MvB 6.7510 0.0100
STROMGREN_b 7.3620 0.0351
STROMGREN_u 10.4480 0.0682
STROMGREN_v 8.8810 0.0434
STROMGREN_y 6.5700 0.0350
GaiaDR2v2_G 5.9479 0.0006
GaiaDR2v2_RP 5.0837 0.0016
GaiaDR2v2_BP 6.7999 0.0019
GALEX_FUV 18.4330 0.0970
GALEX_NUV 15.1930 0.0120
TESS 5.4870 0.1140
