#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4004.8824	62.0816	224.0994	3780.7829	4066.9640
logg	4.5113	0.2659	0.2787	4.2325	4.7771
[Fe/H]	-0.1149	0.2204	0.2324	-0.3474	0.1055
dist	4.8681	0.0055	0.0059	4.8622	4.8736
rad	0.7078	0.1283	0.0298	0.6779	0.8361
Av	0.0000	(FIXED)
grav_mass	0.5378	0.5581	0.2527	0.2851	1.0958
lum	0.1174	0.0407	0.0283	0.0891	0.1581
AD	1.3527	0.2445	0.0569	1.2959	1.5972
age	0.1874	10.5965	0.1804	0.0070	10.7838
iso_mass	0.7077	0.0386	0.0611	0.6466	0.7463
eep	331.9987	17.1336	156.9441	175.0546	349.1324
H_noise	0.3463	1.7740	0.5026	-0.1564	2.1203
J_noise	0.3749	1.9485	0.5773	-0.2024	2.3234
Ks_noise	0.3889	2.2546	0.6149	-0.2260	2.6435
U_noise	0.0428	0.1884	0.0505	-0.0078	0.2312
V_noise	0.0193	0.0317	0.0187	0.0006	0.0510
B_noise	0.0393	0.0662	0.0401	-0.0008	0.1055
BT_noise	0.1019	0.1358	0.0652	0.0367	0.2377
VT_noise	0.0187	0.0844	0.0235	-0.0049	0.1030
b_noise	0.0756	0.2791	0.0859	-0.0102	0.3547
u_noise	1.1209	0.4869	0.4550	0.6659	1.6078
v_noise	0.2842	0.3935	0.1594	0.1248	0.6778
y_noise	0.0627	0.2446	0.0802	-0.0175	0.3073
G_noise	0.0036	0.0057	0.0037	-0.0001	0.0093
RP_noise	0.0073	0.0149	0.0074	-0.0001	0.0222
BP_noise	0.0129	0.0182	0.0129	-0.0000	0.0311
