#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4997.5980	84.8694	83.1374	4914.4606	5082.4674
logg	4.4779	0.2598	0.2358	4.2421	4.7376
[Fe/H]	0.1172	0.2716	0.1713	-0.0541	0.3888
dist	9.5833	0.0742	0.0907	9.4926	9.6576
rad	1.1264	0.0591	0.0729	1.0535	1.1855
Av	0.0000	(FIXED)
grav_mass	1.2834	0.9581	0.5965	0.6869	2.2415
lum	0.6955	0.1064	0.0873	0.6082	0.8019
AD	1.0931	0.0596	0.0707	1.0225	1.1527
age	12.1369	1.3526	4.5989	7.5380	13.4896
iso_mass	0.9057	0.0492	0.0600	0.8457	0.9550
eep	392.4157	11.5084	26.3050	366.1107	403.9241
H_noise	0.6669	1.8663	0.6128	0.0541	2.5332
J_noise	0.4550	1.9057	0.5717	-0.1167	2.3607
U_noise	0.3274	0.2252	0.1427	0.1846	0.5526
V_noise	0.0098	0.0403	0.0102	-0.0004	0.0501
B_noise	0.0871	0.0338	0.0207	0.0664	0.1209
BT_noise	0.1555	0.1254	0.0642	0.0913	0.2809
VT_noise	0.0186	0.0860	0.0222	-0.0035	0.1046
b_noise	0.0568	0.2710	0.0748	-0.0180	0.3278
u_noise	0.9488	1.0676	0.5714	0.3774	2.0165
v_noise	0.1773	0.6049	0.1779	-0.0006	0.7823
y_noise	0.0369	0.0492	0.0331	0.0039	0.0862
G_noise	0.0381	0.0209	0.0206	0.0176	0.0590
RP_noise	0.0949	0.0341	0.0329	0.0620	0.1290
BP_noise	0.0229	0.0290	0.0215	0.0013	0.0519
W1_noise	0.7208	2.7397	0.8219	-0.1011	3.4605
W2_noise	0.5028	2.4889	0.7052	-0.2023	2.9918
NUV_noise	0.0274	0.0581	0.0267	0.0007	0.0856
