#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4994.7297	45.0594	50.9004	4943.8293	5039.7891
logg	4.4866	0.1421	0.1472	4.3394	4.6287
[Fe/H]	0.1437	0.1275	0.1011	0.0425	0.2712
dist	9.5732	0.0505	0.0471	9.5261	9.6236
rad	1.1204	0.0352	0.0310	1.0894	1.1557
Av	0.0000	(FIXED)
grav_mass	1.3518	0.5411	0.3878	0.9640	1.8928
lum	0.7041	0.0508	0.0489	0.6552	0.7549
AD	1.0882	0.0353	0.0307	1.0575	1.1235
age	12.1369	1.3526	4.5989	0.0084	13.48955627461002
iso_mas	0.9057	0.0492	0.0600	0.8027	1.1426650863465797
eep	392.4157	11.5084	26.3050	171.2896	417.0766012630283
H_noise	1.0621	1.0944	0.5785	0.4836	2.1565
J_noise	0.8843	1.1594	0.5695	0.3148	2.0437
U_noise	0.3532	0.1300	0.0923	0.2609	0.4832
V_noise	0.0220	0.0174	0.0135	0.0085	0.0394
B_noise	0.0917	0.0186	0.0144	0.0773	0.1103
BT_noise	0.1754	0.0692	0.0476	0.1278	0.2446
VT_noise	0.0412	0.0474	0.0276	0.0136	0.0886
b_noise	0.1205	0.1698	0.0837	0.0368	0.2904
u_noise	1.0976	0.6202	0.3917	0.7058	1.7178
v_noise	0.3007	0.3653	0.1727	0.1281	0.6661
y_noise	0.0399	0.0302	0.0188	0.0211	0.0701
G_noise	0.0378	0.0118	0.0118	0.0260	0.0496
RP_noise	0.0949	0.0202	0.0182	0.0767	0.1151
BP_noise	0.0259	0.0151	0.0130	0.0128	0.0410
W1_noise	1.2275	1.8177	0.7623	0.4652	3.0452
W2_noise	1.0118	1.7044	0.7147	0.2971	2.7162
NUV_noise	0.0388	0.0302	0.0215	0.0173	0.0690
