#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3295.3056	41.4822	47.2897	3248.0159	3336.7878
logg	5.1346	0.2233	0.3908	4.7438	5.3580
[Fe/H]	-0.3346	0.3834	0.3418	-0.6764	0.0487
dist	10.6200	0.0143	0.0136	10.6064	10.6343
rad	0.3264	0.0106	0.0074	0.3191	0.3371
Av	0.0000	(FIXED)
grav_mass	0.4481	0.3356	0.3558	0.0924	0.7837
lum	0.0114	0.0010	0.0008	0.0105	0.0123
AD	0.2862	0.0090	0.0068	0.2795	0.2952
age	5.2461	6.5311	5.1798	0.0212	13.443795777818865
iso_mas	0.3055	0.0142	0.0097	0.2170	0.3571837763957387
eep	266.3547	13.4565	28.5279	131.2510	292.19126098824944
H_noise	0.1396	0.2543	0.0875	0.0520	0.3939
J_noise	0.1045	0.1107	0.0706	0.0339	0.2152
Ks_noise	0.0772	0.0823	0.0477	0.0294	0.1594
V_noise	0.0895	0.0788	0.0552	0.0343	0.1683
B_noise	0.1396	0.1528	0.0832	0.0565	0.2924
BT_noise	1.0331	2.0105	0.7539	0.2791	3.0436
VT_noise	0.4633	0.7148	0.3329	0.1303	1.1781
G_noise	0.0060	0.0051	0.0035	0.0025	0.0111
RP_noise	0.0150	0.0054	0.0046	0.0104	0.0204
BP_noise	0.0149	0.0092	0.0076	0.0073	0.0241
SDSS_g_noise	0.1555	0.0989	0.0602	0.0953	0.2544
SDSS_r_noise	0.1719	0.2171	0.1203	0.0517	0.3890
W1_noise	0.1746	0.2459	0.1147	0.0598	0.4204
W2_noise	0.1160	0.1063	0.0653	0.0507	0.2224
