# Filter Magnitude Uncertainty
2MASS_H 7.3590 0.0490
2MASS_J 7.9330 0.0300
2MASS_Ks 7.1010 0.0300
GROUND_JOHNSON_V 11.6850 0.0300
GROUND_JOHNSON_B 13.2890 0.0300
TYCHO_B_MvB 13.6660 0.3710
TYCHO_V_MvB 11.9520 0.1560
GaiaDR2v2_G 10.5976 0.0300
GaiaDR2v2_RP 9.4720 0.0300
GaiaDR2v2_BP 11.9775 0.0300
SDSS_g 12.4530 0.0300
SDSS_r 11.0650 0.0440
WISE_RSR_W1 6.9350 0.0620
WISE_RSR_W2 6.7670 0.0300
