#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3297.5086	71.9276	78.5875	3218.9211	3369.4362
logg	5.1640	0.3745	0.4941	4.6699	5.5385
[Fe/H]	-0.4351	0.7736	0.5241	-0.9591	0.3386
dist	10.6240	0.0192	0.0260	10.5980	10.6431
rad	0.3240	0.0172	0.0108	0.3132	0.3412
Av	0.0000	(FIXED)
grav_mass	0.4041	0.6214	0.3960	0.0081	1.0255
lum	0.0112	0.0017	0.0013	0.0099	0.0129
AD	0.2838	0.0148	0.0097	0.2742	0.2986
age	5.2461	6.5311	5.1798	0.0663	11.7772
iso_mass	0.3055	0.0142	0.0097	0.2957	0.3197
eep	266.3547	13.4565	28.5279	237.8268	279.8112
H_noise	0.0894	0.3575	0.1085	-0.0191	0.4470
J_noise	0.0417	0.2236	0.0535	-0.0118	0.2654
Ks_noise	0.0478	0.1447	0.0501	-0.0023	0.1925
V_noise	0.0493	0.1492	0.0483	0.0010	0.1986
B_noise	0.0832	0.2653	0.0884	-0.0052	0.3485
BT_noise	0.4907	2.9452	0.7480	-0.2573	3.4359
VT_noise	0.2043	1.1635	0.2866	-0.0823	1.3678
G_noise	0.0055	0.0080	0.0054	0.0001	0.0135
RP_noise	0.0141	0.0095	0.0066	0.0076	0.0236
BP_noise	0.0150	0.0140	0.0136	0.0014	0.0291
SDSS_g_noise	0.1405	0.1582	0.0887	0.0518	0.2987
SDSS_r_noise	0.0739	0.3821	0.0955	-0.0216	0.4561
W1_noise	0.1001	0.3740	0.1226	-0.0225	0.4741
W2_noise	0.0874	0.1754	0.0842	0.0032	0.2628
