#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5347.9093	60.5124	60.5124	5287.3969	5408.4217
logg	4.2959	0.4812	0.4072	3.8887	4.7771
[Fe/H]	0.0475	0.2299	0.2728	-0.2253	0.2774
dist	164.3373	3.3605	3.6405	160.6967	167.6978
rad	0.9189	0.0249	0.0236	0.8953	0.9438
Av	0.0271	0.0426	0.0453	-0.0182	0.0697
grav_mass	0.4089	0.9231	0.2444	0.1646	1.3321
lum	0.6199	0.0468	0.0395	0.5805	0.6667
AD	0.0520	0.0019	0.0017	0.0503	0.0538
age	0.8463	11.0514	0.8086	0.0376	13.425060226220102
iso_mas	0.9794	0.0537	0.1368	0.7970	1.0989431800090659
eep	376.0015	18.8061	86.3687	194.2093	401.7727849387973
H_noise	0.1111	0.1050	0.0602	0.0508	0.2161
J_noise	0.0650	0.0917	0.0413	0.0237	0.1567
Ks_noise	0.0755	0.0773	0.0467	0.0288	0.1528
V_noise	0.0899	0.0616	0.0388	0.0511	0.1515
B_noise	0.0863	0.0613	0.0418	0.0445	0.1476
BT_noise	0.5515	0.6071	0.3133	0.2382	1.1586
VT_noise	0.4020	0.2810	0.1686	0.2334	0.6829
G_noise	0.0063	0.0036	0.0029	0.0034	0.0099
RP_noise	0.0059	0.0037	0.0027	0.0032	0.0096
BP_noise	0.0144	0.0053	0.0053	0.0090	0.0197
SDSS_g_noise	0.1110	0.0703	0.0469	0.0641	0.1813
SDSS_i_noise	0.1055	0.0829	0.0569	0.0486	0.1884
SDSS_r_noise	0.0725	0.0451	0.0294	0.0431	0.1176
W1_noise	0.0813	0.1195	0.0519	0.0294	0.2009
W2_noise	0.0735	0.0927	0.0424	0.0311	0.1662
