# Filter Magnitude Uncertainty
2MASS_H 8.5970 0.0300
2MASS_J 9.3300 0.0300
2MASS_Ks 8.5320 0.0300
GROUND_JOHNSON_V 11.7360 0.0300
GROUND_JOHNSON_B 13.0750 0.0470
TYCHO_B_MvB 14.5370 0.5660
TYCHO_V_MvB 11.5420 0.1080
GaiaDR2v2_G 11.2198 0.0300
GaiaDR2v2_RP 10.3706 0.0300
GaiaDR2v2_BP 12.0250 0.0300
PS1_g 12.3283 0.0300
PS1_i 10.9412 0.0454
PS1_r 11.2803 0.0377
PS1_y 10.5791 0.0830
PS1_z 10.7537 0.0551
SDSS_g 12.4800 0.0410
SDSS_i 10.6750 0.0300
SDSS_r 11.2170 0.0340
WISE_RSR_W1 8.4360 0.0300
WISE_RSR_W2 8.5130 0.0300
