# Filter Magnitude Uncertainty
2MASS_H 6.7100 0.0310
2MASS_J 7.3760 0.0300
2MASS_Ks 6.5490 0.0300
GROUND_JOHNSON_U 12.4300 0.0300
GROUND_JOHNSON_V 9.8870 0.0370
GROUND_JOHNSON_B 11.2250 0.0300
TYCHO_B_MvB 11.5570 0.0730
TYCHO_V_MvB 10.0870 0.0340
GaiaDR2v2_G 9.3124 0.0300
GaiaDR2v2_RP 8.4457 0.0300
GaiaDR2v2_BP 10.1456 0.0300
SDSS_g 10.6100 0.0420
SDSS_i 8.8540 0.0300
SDSS_r 13.2200 0.0300
WISE_RSR_W1 6.4350 0.0860
WISE_RSR_W2 6.3800 0.0300
