#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3973.6557	69.2284	40.3102	3933.3455	4042.8841
logg	4.9991	0.2813	0.3184	4.6807	5.2804
[Fe/H]	-0.4613	0.4991	0.2590	-0.7202	0.0378
dist	20.2150	0.0939	0.1146	20.1004	20.3089
rad	0.6194	0.0144	0.0213	0.5981	0.6338
Av	0.0000	(FIXED)
grav_mass	1.1971	1.1364	0.6923	0.5048	2.3334
lum	0.0865	0.0073	0.0070	0.0794	0.0938
AD	0.2854	0.0066	0.0103	0.2751	0.2920
age	5.1015	6.7156	5.0029	0.0085	13.439592774948014
iso_mas	0.6058	0.0324	0.0216	0.3525	0.693390166314479
eep	326.1721	12.2235	41.1738	146.6801	338.3955753460709
H_noise	0.0901	0.1704	0.0645	0.0256	0.2605
J_noise	0.0767	0.1203	0.0507	0.0260	0.1969
Ks_noise	0.0712	0.1023	0.0479	0.0233	0.1735
V_noise	0.0863	0.1868	0.0623	0.0240	0.2731
B_noise	0.0804	0.0845	0.0493	0.0311	0.1649
BT_noise	0.1752	0.3630	0.1265	0.0487	0.5382
VT_noise	0.0776	0.1719	0.0581	0.0195	0.2495
G_noise	0.0037	0.0033	0.0024	0.0012	0.0069
RP_noise	0.0069	0.0089	0.0047	0.0022	0.0158
BP_noise	0.0114	0.0088	0.0071	0.0043	0.0202
W1_noise	0.2084	0.4531	0.1534	0.0550	0.6615
W2_noise	0.0745	0.1252	0.0534	0.0212	0.1997
