#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3976.9697	107.0920	86.6185	3890.3512	4084.0617
logg	5.1205	0.3783	0.6355	4.4850	5.4988
[Fe/H]	-0.3985	0.7379	0.5518	-0.9503	0.3394
dist	20.2189	0.1443	0.1763	20.0425	20.3631
rad	0.6168	0.0295	0.0323	0.5844	0.6463
Av	0.0000	(FIXED)
grav_mass	0.9269	2.2164	0.7612	0.1657	3.1434
lum	0.0855	0.0143	0.0122	0.0733	0.0998
AD	0.2840	0.0138	0.0151	0.2689	0.2978
age	5.1015	6.7156	5.0029	0.0986	11.8170
iso_mass	0.6058	0.0324	0.0216	0.5842	0.6382
eep	326.1721	12.2235	41.1738	284.9983	338.3956
H_noise	0.0546	0.2393	0.0740	-0.0194	0.2939
J_noise	0.0504	0.1767	0.0589	-0.0085	0.2271
Ks_noise	0.0421	0.1545	0.0504	-0.0083	0.1965
V_noise	0.0515	0.2493	0.0701	-0.0186	0.3008
B_noise	0.0594	0.1343	0.0581	0.0013	0.1938
BT_noise	0.0978	0.5072	0.1449	-0.0471	0.6050
VT_noise	0.0496	0.2296	0.0706	-0.0210	0.2792
G_noise	0.0031	0.0052	0.0031	0.0000	0.0083
RP_noise	0.0047	0.0138	0.0050	-0.0003	0.0186
BP_noise	0.0127	0.0114	0.0126	0.0001	0.0240
W1_noise	0.1172	0.6129	0.1634	-0.0462	0.7301
W2_noise	0.0409	0.1851	0.0507	-0.0098	0.2261
