#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5564.0773	50.3512	46.7547	5517.3226	5614.4285
logg	4.4451	0.3518	0.4299	4.0151	4.7968
[Fe/H]	-0.2988	0.3363	0.2975	-0.5964	0.0375
dist	158.3469	1.7182	1.7182	156.6288	160.0651
rad	0.9143	0.0156	0.0169	0.8974	0.9299
Av	0.0111	0.0351	0.0293	-0.0181	0.0463
grav_mass	0.5773	0.9499	0.3522	0.2251	1.5272
lum	0.7208	0.0375	0.0348	0.6859	0.7583
AD	0.0537	0.0011	0.0011	0.0526	0.0548
age	0.7831	4.2494	0.7525	0.0306	13.22145450502549
iso_mas	0.9799	0.0451	0.0701	0.7841	1.0701286301893147
eep	337.6983	19.3404	55.9491	192.6451	398.4824285521619
H_noise	0.0849	0.0907	0.0518	0.0331	0.1757
J_noise	0.0712	0.0895	0.0448	0.0264	0.1607
Ks_noise	0.0697	0.0695	0.0463	0.0233	0.1392
V_noise	0.0764	0.0765	0.0435	0.0329	0.1529
B_noise	0.0988	0.1063	0.0610	0.0378	0.2051
BT_noise	0.3809	0.5133	0.2493	0.1316	0.8941
VT_noise	0.2630	0.3935	0.1736	0.0895	0.6565
G_noise	0.0040	0.0025	0.0021	0.0020	0.0066
RP_noise	0.0052	0.0031	0.0027	0.0025	0.0084
BP_noise	0.0160	0.0066	0.0060	0.0100	0.0226
SDSS_g_noise	0.0940	0.1398	0.0605	0.0335	0.2337
SDSS_i_noise	0.0893	0.0978	0.0457	0.0436	0.1871
SDSS_r_noise	0.0566	0.0370	0.0246	0.0320	0.0935
W1_noise	0.1050	0.1136	0.0663	0.0387	0.2185
W2_noise	0.0720	0.0984	0.0439	0.0281	0.1704
