#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5563.4875	93.4552	84.8020	5478.6856	5656.9427
logg	4.7210	0.3674	1.1982	3.5229	5.0885
[Fe/H]	-0.2389	0.5842	0.6588	-0.8977	0.3454
dist	158.1153	3.5970	2.9675	155.1478	161.7123
rad	0.9139	0.0296	0.0290	0.8850	0.9435
Av	0.0117	0.0620	0.0570	-0.0454	0.0737
grav_mass	0.2636	1.9559	0.2006	0.0630	2.2194
lum	0.7183	0.0706	0.0623	0.6560	0.7889
AD	0.0537	0.0020	0.0020	0.0516	0.0557
age	0.7831	4.2494	0.7525	0.0306	5.0325
iso_mass	0.9799	0.0451	0.0701	0.9098	1.0250
eep	337.6983	19.3404	55.9491	281.7492	357.0387
H_noise	0.0376	0.1689	0.0478	-0.0102	0.2065
J_noise	0.0308	0.1581	0.0421	-0.0114	0.1888
Ks_noise	0.0248	0.1441	0.0333	-0.0085	0.1689
V_noise	0.0436	0.1403	0.0476	-0.0039	0.1839
B_noise	0.0417	0.2084	0.0500	-0.0083	0.2501
BT_noise	0.1585	0.8736	0.2184	-0.0599	1.0322
VT_noise	0.1255	0.6110	0.1763	-0.0508	0.7365
G_noise	0.0031	0.0052	0.0029	0.0001	0.0083
RP_noise	0.0053	0.0054	0.0052	0.0001	0.0107
BP_noise	0.0169	0.0105	0.0122	0.0047	0.0274
SDSS_g_noise	0.0462	0.2222	0.0624	-0.0162	0.2683
SDSS_i_noise	0.0575	0.1591	0.0566	0.0008	0.2166
SDSS_r_noise	0.0439	0.0712	0.0334	0.0105	0.1151
W1_noise	0.0448	0.2190	0.0547	-0.0100	0.2637
W2_noise	0.0348	0.1630	0.0461	-0.0114	0.1978
