#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3764.8277	84.2159	209.6805	3555.1472	3849.0437
logg	5.2067	0.3227	0.7144	4.4923	5.5294
[Fe/H]	0.1670	0.3458	0.9028	-0.7358	0.5128
dist	52.7926	0.7338	0.8661	51.9264	53.5264
rad	0.6510	0.0797	0.0328	0.6182	0.7308
Av	0.0143	0.0633	0.0662	-0.0519	0.0776
grav_mass	1.0268	3.2258	0.9582	0.0687	4.2526
lum	0.0741	0.0202	0.0140	0.0601	0.0942
AD	0.1150	0.0140	0.0061	0.1089	0.1290
age	1.3993	10.2421	1.2578	0.1415	11.6414
iso_mass	0.6347	0.0206	0.0172	0.6175	0.6553
eep	324.1883	12.4632	50.3722	273.8162	336.6515
H_noise	0.0428	0.1997	0.0514	-0.0086	0.2425
J_noise	0.0651	0.2036	0.0652	-0.0000	0.2688
Ks_noise	0.0421	0.2525	0.0585	-0.0164	0.2947
V_noise	0.0545	0.3229	0.0829	-0.0284	0.3774
B_noise	0.0656	0.1749	0.0744	-0.0088	0.2404
G_noise	0.0032	0.0038	0.0031	0.0001	0.0070
RP_noise	0.0107	0.0117	0.0089	0.0018	0.0224
BP_noise	0.0165	0.0187	0.0162	0.0002	0.0352
W1_noise	0.0420	0.1932	0.0541	-0.0121	0.2352
W2_noise	0.1334	0.1617	0.1055	0.0280	0.2952
