# Filter Magnitude Uncertainty
2MASS_H 8.8290 0.0300
2MASS_J 9.4930 0.0300
2MASS_Ks 8.6260 0.0300
GROUND_JOHNSON_U 15.2400 0.0300
GROUND_JOHNSON_V 12.4920 0.0380
GROUND_JOHNSON_B 13.9330 0.0300
GaiaDR2v2_G 11.7282 0.0300
GaiaDR2v2_RP 10.7515 0.0300
GaiaDR2v2_BP 12.7422 0.0300
PS1_g 13.4320 0.0300
PS1_i 11.4590 0.0448
PS1_r 11.9109 0.0300
PS1_y 12.7063 0.0300
PS1_z 10.8765 0.0300
SDSS_g 13.2420 0.0360
SDSS_i 11.0980 0.0300
SDSS_r 11.9080 0.0430
WISE_RSR_W1 8.5000 0.0300
WISE_RSR_W2 8.5350 0.0300
