#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3721.1138	68.2315	113.3336	3607.7802	3789.3453
logg	5.1203	0.2683	0.4725	4.6479	5.3887
[Fe/H]	0.1081	0.2351	0.7004	-0.5923	0.3432
dist	52.7988	0.5188	0.6414	52.1574	53.3176
rad	0.6662	0.0426	0.0266	0.6396	0.7087
Av	0.0127	0.0460	0.0460	-0.0333	0.0587
grav_mass	1.2940	2.0836	0.9139	0.3802	3.3777
lum	0.0759	0.0117	0.0099	0.0660	0.0876
AD	0.1173	0.0078	0.0047	0.1126	0.1251
age	1.3993	10.2421	1.2578	0.0517	13.438250448792012
iso_mas	0.6347	0.0206	0.0172	0.5884	0.6801694581546666
eep	324.1883	12.4632	50.3722	183.9772	338.72873339137743
H_noise	0.0759	0.1409	0.0573	0.0186	0.2168
J_noise	0.0882	0.1510	0.0544	0.0339	0.2392
Ks_noise	0.0932	0.1598	0.0743	0.0189	0.2530
V_noise	0.0843	0.2599	0.0689	0.0154	0.3442
B_noise	0.0966	0.1140	0.0694	0.0272	0.2106
G_noise	0.0030	0.0030	0.0019	0.0011	0.0061
RP_noise	0.0112	0.0085	0.0064	0.0048	0.0197
BP_noise	0.0140	0.0170	0.0093	0.0048	0.0310
W1_noise	0.0673	0.1326	0.0442	0.0231	0.1999
W2_noise	0.1489	0.1075	0.0746	0.0743	0.2564
