#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5632.4948	106.3480	117.9075	5514.5873	5738.8428
logg	4.4729	0.5988	0.9306	3.5423	5.0718
[Fe/H]	-0.4439	0.5256	0.5141	-0.9580	0.0817
dist	142.5727	5.4563	5.6100	136.9627	148.0291
rad	0.9884	0.0430	0.0439	0.9445	1.0314
Av	0.0332	0.0714	0.0661	-0.0329	0.1046
grav_mass	0.3492	1.7075	0.2846	0.0647	2.0567
lum	0.8728	0.1120	0.0982	0.7746	0.9848
AD	0.0646	0.0037	0.0039	0.0608	0.0684
age	7.1846	4.5885	6.6129	0.5717	11.7731
iso_mass	0.9302	0.1357	0.0904	0.8397	1.0658
eep	348.8420	61.9951	28.3833	320.4587	410.8370
H_noise	0.0369	0.1818	0.0454	-0.0086	0.2186
J_noise	0.0304	0.1891	0.0427	-0.0123	0.2195
Ks_noise	0.0297	0.1604	0.0375	-0.0079	0.1901
V_noise	0.0468	0.2617	0.0683	-0.0214	0.3085
B_noise	0.0397	0.0876	0.0386	0.0011	0.1273
BT_noise	0.1193	0.5606	0.1529	-0.0336	0.6799
VT_noise	0.1866	0.5120	0.1613	0.0253	0.6986
G_noise	0.0031	0.0041	0.0028	0.0003	0.0072
RP_noise	0.0052	0.0090	0.0051	0.0001	0.0142
BP_noise	0.0163	0.0124	0.0102	0.0060	0.0286
SDSS_g_noise	0.0247	0.0957	0.0300	-0.0053	0.1204
SDSS_i_noise	0.0580	0.2852	0.0768	-0.0187	0.3433
SDSS_r_noise	0.0525	0.2846	0.0768	-0.0243	0.3371
W1_noise	0.0456	0.2111	0.0535	-0.0079	0.2567
W2_noise	0.0323	0.1743	0.0410	-0.0088	0.2066
