#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5820.4477	126.3769	128.4832	5691.9646	5946.8246
logg	4.3301	0.7814	0.8452	3.4849	5.1115
[Fe/H]	-0.0993	0.5605	0.6602	-0.7595	0.4612
dist	99.4875	3.2396	3.0596	96.4279	102.7272
rad	0.9426	0.0473	0.0396	0.9029	0.9899
Av	0.0107	0.0740	0.0605	-0.0498	0.0847
grav_mass	0.2703	1.6917	0.2051	0.0652	1.9620
lum	0.9222	0.1213	0.1132	0.8090	1.0435
AD	0.0882	0.0051	0.0046	0.0836	0.0933
age	0.6990	5.6928	0.6697	0.0293	6.3918
iso_mass	1.0002	0.0526	0.1011	0.8992	1.0529
eep	340.5639	34.3885	55.0216	285.5423	374.9525
H_noise	0.0769	0.3374	0.0945	-0.0176	0.4142
J_noise	0.0298	0.1345	0.0388	-0.0090	0.1643
Ks_noise	0.0479	0.2179	0.0607	-0.0129	0.2658
V_noise	0.0601	0.2341	0.0751	-0.0150	0.2942
B_noise	0.0715	0.3450	0.0946	-0.0231	0.4165
BT_noise	0.0673	0.3684	0.0858	-0.0185	0.4357
VT_noise	0.0456	0.2441	0.0662	-0.0206	0.2897
G_noise	0.0091	0.0139	0.0088	0.0003	0.0230
RP_noise	0.0114	0.0277	0.0119	-0.0004	0.0391
BP_noise	0.0247	0.0321	0.0224	0.0022	0.0567
SDSS_g_noise	0.1459	0.8556	0.2175	-0.0716	1.0015
SDSS_i_noise	0.0438	0.1788	0.0544	-0.0107	0.2226
SDSS_r_noise	0.0408	0.2024	0.0531	-0.0123	0.2432
W1_noise	0.0372	0.1644	0.0463	-0.0090	0.2017
W2_noise	0.0374	0.1639	0.0437	-0.0063	0.2013
