# Filter Magnitude Uncertainty
2MASS_H 9.8780 0.0300
2MASS_J 10.3290 0.0300
2MASS_Ks 9.7510 0.0300
GROUND_JOHNSON_V 12.0150 0.0310
GROUND_JOHNSON_B 12.9660 0.0360
GaiaDR2v2_G 11.7849 0.0300
GaiaDR2v2_RP 11.1268 0.0300
GaiaDR2v2_BP 12.3293 0.0300
SDSS_g 12.4920 0.0300
SDSS_i 11.3520 0.0580
SDSS_r 11.6400 0.0490
WISE_RSR_W1 9.6800 0.0300
WISE_RSR_W2 9.7410 0.0300
