#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4841.7096	39.7430	42.9225	4798.7871	4881.4526
logg	4.4557	0.4312	0.4203	4.0354	4.8869
[Fe/H]	-0.1262	0.3224	0.3270	-0.4531	0.1963
dist	131.4762	3.1073	3.4233	128.0529	134.5835
rad	0.7549	0.0250	0.0219	0.7330	0.7799
Av	0.0201	0.0322	0.0358	-0.0157	0.0523
grav_mass	0.4492	0.7766	0.2941	0.1550	1.2257
lum	0.2805	0.0226	0.0176	0.2629	0.3031
AD	0.0534	0.0024	0.0019	0.0515	0.0558
age	2.1602	10.9217	1.7079	0.0927	13.486438498271907
iso_mas	0.7890	0.0569	0.0483	0.6814	0.9137184669652949
eep	343.0188	18.8581	47.1453	192.7432	368.94872141562416
H_noise	0.1333	0.0882	0.0647	0.0686	0.2215
J_noise	0.0734	0.0767	0.0466	0.0268	0.1501
Ks_noise	0.0949	0.0902	0.0562	0.0387	0.1851
V_noise	0.1445	0.1146	0.0826	0.0619	0.2591
B_noise	0.1989	0.1369	0.0920	0.1069	0.3358
G_noise	0.0071	0.0048	0.0035	0.0036	0.0119
RP_noise	0.0144	0.0117	0.0079	0.0064	0.0261
BP_noise	0.0296	0.0119	0.0110	0.0186	0.0415
SDSS_g_noise	0.1124	0.0716	0.0488	0.0636	0.1839
SDSS_i_noise	0.2653	0.2051	0.1327	0.1326	0.4704
SDSS_r_noise	0.2398	0.2019	0.1170	0.1227	0.4417
W1_noise	0.0787	0.0834	0.0455	0.0332	0.1620
W2_noise	0.0819	0.0753	0.0477	0.0343	0.1572
