# Filter Magnitude Uncertainty
2MASS_H 6.0130 0.0340
2MASS_J 6.5340 0.0300
2MASS_Ks 5.8690 0.0300
GROUND_JOHNSON_V 8.4250 0.0300
GROUND_JOHNSON_B 9.4340 0.0300
TYCHO_B_MvB 9.7120 0.0300
TYCHO_V_MvB 8.5470 0.0300
GaiaDR2v2_G 8.0659 0.0300
GaiaDR2v2_RP 7.3797 0.0300
GaiaDR2v2_BP 8.6507 0.0300
SDSS_g 8.9610 0.0300
SDSS_i 7.7020 0.0300
SDSS_r 8.0270 0.0300
WISE_RSR_W1 5.8660 0.1260
WISE_RSR_W2 5.7660 0.0430
