#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5759.4727	113.7027	111.6354	5647.8374	5873.1754
logg	4.5081	0.5903	0.8854	3.6227	5.0984
[Fe/H]	0.3368	0.2407	0.8624	-0.5256	0.5774
dist	259.3183	12.1293	14.5552	244.7631	271.4477
rad	1.0040	0.0714	0.0704	0.9336	1.0754
Av	0.1071	0.0555	0.0555	0.0516	0.1626
grav_mass	0.3921	2.1842	0.3212	0.0709	2.5762
lum	0.9804	0.1803	0.1414	0.8389	1.1606
AD	0.0360	0.0032	0.0031	0.0329	0.0392
age	1.1852	6.4284	1.1527	0.0325	7.6136
iso_mass	1.0331	0.0981	0.0955	0.9376	1.1312
eep	336.6601	62.0420	37.3747	299.2854	398.7020
H_noise	0.0567	0.1530	0.0599	-0.0031	0.2097
J_noise	0.0496	0.1387	0.0607	-0.0111	0.1883
Ks_noise	0.0365	0.2338	0.0511	-0.0145	0.2703
V_noise	0.0618	0.0747	0.0398	0.0220	0.1365
B_noise	0.0852	0.0858	0.0679	0.0173	0.1710
BT_noise	0.4785	2.1664	0.5666	-0.0881	2.6449
VT_noise	0.3889	1.1005	0.4221	-0.0332	1.4895
G_noise	0.0008	0.0024	0.0008	0.0001	0.0032
RP_noise	0.0049	0.0062	0.0049	-0.0000	0.0110
BP_noise	0.0063	0.0120	0.0053	0.0010	0.0183
SDSS_g_noise	0.0524	0.1499	0.0467	0.0057	0.2023
SDSS_i_noise	0.0398	0.0417	0.0190	0.0208	0.0815
SDSS_r_noise	0.0875	0.0798	0.0586	0.0289	0.1673
