# Filter Magnitude Uncertainty
2MASS_H 8.9520 0.0300
2MASS_J 9.3290 0.0300
2MASS_Ks 8.8140 0.0300
GROUND_JOHNSON_V 10.8370 0.1220
GROUND_JOHNSON_B 11.6340 0.0300
TYCHO_B_MvB 11.8170 0.0830
TYCHO_V_MvB 10.8000 0.0590
GaiaDR2v2_G 10.5784 0.0300
GaiaDR2v2_RP 9.9938 0.0300
GaiaDR2v2_BP 11.0391 0.0300
SDSS_g 11.2690 0.0920
SDSS_i 10.3350 0.0630
SDSS_r 10.5530 0.0490
WISE_RSR_W1 8.7610 0.0300
WISE_RSR_W2 8.8240 0.0300
