# Filter Magnitude Uncertainty
GROUND_JOHNSON_U 9.6470 0.0697
GROUND_JOHNSON_V 7.6310 0.0300
GROUND_JOHNSON_B 9.0450 0.0300
TYCHO_B_MvB 9.4120 0.0300
TYCHO_V_MvB 7.7890 0.0300
STROMGREN_b 8.4660 0.0300
STROMGREN_u 11.5090 0.0300
STROMGREN_v 9.9500 0.0300
STROMGREN_y 7.6230 0.0300
