#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5383.5664	124.4495	100.5169	5283.0494	5508.0159
logg	4.3746	0.6612	0.8303	3.5443	5.0358
[Fe/H]	0.1760	0.3631	0.7140	-0.5380	0.5392
dist	95.4239	1.6604	1.8027	93.6212	97.0842
rad	0.8582	0.0376	0.0434	0.8148	0.8958
Av	0.0221	0.0590	0.0658	-0.0436	0.0811
grav_mass	0.2204	1.3952	0.1641	0.0563	1.6156
lum	0.5606	0.0706	0.0723	0.4883	0.6312
AD	0.0837	0.0040	0.0044	0.0793	0.0877
age	2.3617	6.1334	2.3219	0.0398	8.4951
iso_mass	0.9154	0.0598	0.0647	0.8507	0.9752
eep	333.7329	38.0950	43.8092	289.9237	371.8279
H_noise	0.0684	0.3003	0.0880	-0.0196	0.3686
J_noise	0.0347	0.1850	0.0504	-0.0157	0.2197
Ks_noise	0.0399	0.1686	0.0466	-0.0067	0.2085
V_noise	0.0344	0.1796	0.0476	-0.0131	0.2141
B_noise	0.0929	0.1822	0.0939	-0.0010	0.2751
BT_noise	0.0974	0.4540	0.1252	-0.0278	0.5514
VT_noise	0.0560	0.2856	0.0765	-0.0205	0.3416
G_noise	0.0010	0.0053	0.0011	-0.0001	0.0064
RP_noise	0.0075	0.0147	0.0077	-0.0001	0.0223
BP_noise	0.0192	0.0163	0.0122	0.0070	0.0355
SDSS_g_noise	0.0724	0.4075	0.1069	-0.0345	0.4799
SDSS_i_noise	0.0555	0.3425	0.0869	-0.0314	0.3980
SDSS_r_noise	0.0662	0.3315	0.0872	-0.0211	0.3977
