#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5846.3908	109.5732	97.1687	5749.2222	5955.9640
logg	4.1146	1.0767	0.6152	3.4994	5.1913
[Fe/H]	-0.2839	0.7046	0.4367	-0.7206	0.4207
dist	148.6631	4.3599	3.6333	145.0298	153.0230
rad	1.0274	0.0421	0.0405	0.9869	1.0694
Av	0.0189	0.0677	0.0575	-0.0386	0.0867
grav_mass	0.3745	1.9595	0.2882	0.0863	2.3340
lum	1.1145	0.1251	0.1163	0.9982	1.2395
AD	0.0641	0.0032	0.0030	0.0611	0.0673
age	0.9678	3.6649	0.9386	0.0292	4.6327
iso_mass	1.0584	0.0701	0.0826	0.9758	1.1285
eep	339.1304	46.1804	47.6701	291.4604	385.3108
H_noise	0.0391	0.1654	0.0428	-0.0037	0.2045
J_noise	0.0314	0.1699	0.0402	-0.0088	0.2013
Ks_noise	0.0376	0.1935	0.0475	-0.0099	0.2311
V_noise	0.0980	0.6088	0.1439	-0.0460	0.7068
B_noise	0.0398	0.0935	0.0389	0.0009	0.1333
BT_noise	0.0691	0.3966	0.0910	-0.0220	0.4657
VT_noise	0.0904	0.3473	0.0933	-0.0029	0.4377
G_noise	0.0034	0.0043	0.0032	0.0003	0.0077
RP_noise	0.0034	0.0100	0.0034	-0.0000	0.0134
BP_noise	0.0128	0.0075	0.0086	0.0042	0.0203
SDSS_g_noise	0.0357	0.0621	0.0300	0.0056	0.0978
SDSS_i_noise	0.0420	0.2141	0.0535	-0.0115	0.2561
SDSS_r_noise	0.0325	0.2049	0.0444	-0.0119	0.2374
W1_noise	0.0480	0.1726	0.0521	-0.0041	0.2206
W2_noise	0.0291	0.1564	0.0367	-0.0075	0.1855
