#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4658.9669	74.3255	77.9511	4581.0158	4733.2924
logg	5.2304	0.2802	1.2939	3.9365	5.5106
[Fe/H]	0.3748	0.2425	0.9109	-0.5361	0.6173
dist	81.7286	1.0022	1.1962	80.5324	82.7309
rad	0.7333	0.0309	0.0258	0.7075	0.7641
Av	0.0160	0.0573	0.0718	-0.0558	0.0733
grav_mass	0.2537	3.6248	0.2132	0.0405	3.8786
lum	0.2271	0.0256	0.0217	0.2054	0.2527
AD	0.0834	0.0038	0.0030	0.0804	0.0872
age	1.5019	8.5622	1.3000	0.2019	10.0642
iso_mass	0.7841	0.0293	0.0482	0.7359	0.8134
eep	334.8896	16.0506	47.1164	287.7732	350.9402
H_noise	0.0787	0.4362	0.1039	-0.0251	0.5150
J_noise	0.0472	0.2062	0.0576	-0.0104	0.2534
Ks_noise	0.0730	0.1747	0.0797	-0.0066	0.2478
V_noise	0.0795	0.1745	0.0698	0.0098	0.2540
B_noise	0.0801	0.1812	0.0679	0.0121	0.2613
BT_noise	0.1736	1.1163	0.2600	-0.0863	1.2899
VT_noise	0.1296	0.6691	0.1673	-0.0377	0.7987
G_noise	0.0023	0.0084	0.0023	0.0000	0.0108
RP_noise	0.0042	0.0081	0.0041	0.0001	0.0123
BP_noise	0.0115	0.0078	0.0099	0.0016	0.0193
SDSS_g_noise	0.0623	0.0946	0.0358	0.0266	0.1570
SDSS_i_noise	0.0797	0.4336	0.1131	-0.0334	0.5133
SDSS_r_noise	0.0610	0.3056	0.0795	-0.0186	0.3665
W1_noise	0.0458	0.1975	0.0572	-0.0115	0.2433
W2_noise	0.0530	0.1574	0.0599	-0.0069	0.2104
