# Filter Magnitude Uncertainty
GROUND_JOHNSON_U 10.3540 0.0539
GROUND_JOHNSON_V 7.7010 0.0300
GROUND_JOHNSON_B 9.1180 0.0300
TYCHO_B_MvB 9.5490 0.0300
TYCHO_V_MvB 7.8820 0.0300
STROMGREN_b 8.5790 0.0300
STROMGREN_u 11.6220 0.0300
STROMGREN_v 10.0620 0.0300
STROMGREN_y 7.7210 0.0300
