#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4246.4707	46.4707	53.2300	4193.2406	4292.9413
logg	4.9096	0.2756	0.4053	4.5044	5.1852
[Fe/H]	-0.1673	0.4001	0.3628	-0.5301	0.2328
dist	27.4841	0.1426	0.1248	27.3593	27.6268
rad	0.6813	0.0196	0.0189	0.6624	0.7009
Av	0.0000	(FIXED)
grav_mass	0.9904	1.2259	0.6811	0.3094	2.2164
lum	0.1361	0.0095	0.0103	0.1258	0.1456
AD	0.2302	0.0069	0.0063	0.2239	0.2371
age	1.3574	9.2112	1.3030	0.0544	13.444261416443226
iso_mas	0.6944	0.0319	0.0303	0.6257	0.7873578326473256
eep	331.2693	13.5906	53.8396	190.1362	345.9053110536625
H_noise	0.1449	0.2125	0.0981	0.0468	0.3575
J_noise	0.0569	0.1167	0.0405	0.0164	0.1736
Ks_noise	0.0598	0.0957	0.0393	0.0204	0.1555
V_noise	0.0382	0.0603	0.0265	0.0117	0.0986
B_noise	0.0825	0.1800	0.0561	0.0264	0.2626
BT_noise	0.1576	0.3031	0.1025	0.0551	0.4607
VT_noise	0.1075	0.1590	0.0627	0.0448	0.2665
G_noise	0.0029	0.0022	0.0017	0.0012	0.0051
RP_noise	0.0065	0.0074	0.0042	0.0023	0.0139
BP_noise	0.0212	0.0244	0.0120	0.0091	0.0455
W1_noise	0.0898	0.1698	0.0618	0.0280	0.2596
W2_noise	0.1088	0.1093	0.0554	0.0533	0.2181
