#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4284.0033	57.9441	151.9075	4132.0958	4341.9474
logg	4.8948	0.5180	0.5328	4.3620	5.4128
[Fe/H]	-0.1859	0.6835	0.6392	-0.8251	0.4977
dist	27.5118	0.1856	0.2185	27.2933	27.6974
rad	0.6727	0.0486	0.0268	0.6459	0.7213
Av	0.0000	(FIXED)
grav_mass	0.9798	1.7385	0.9094	0.0704	2.7183
lum	0.1351	0.0214	0.0207	0.1144	0.1565
AD	0.2270	0.0171	0.0086	0.2185	0.2442
age	1.3574	9.2112	1.3030	0.0544	10.5686
iso_mass	0.6944	0.0319	0.0303	0.6641	0.7263
eep	331.2693	13.5906	53.8396	277.4296	344.8599
H_noise	0.0939	0.3167	0.1108	-0.0169	0.4106
J_noise	0.0320	0.1630	0.0437	-0.0117	0.1950
Ks_noise	0.0351	0.1431	0.0423	-0.0073	0.1782
V_noise	0.0196	0.0924	0.0257	-0.0061	0.1120
B_noise	0.0577	0.2474	0.0691	-0.0114	0.3051
BT_noise	0.0931	0.4334	0.1284	-0.0353	0.5264
VT_noise	0.0817	0.2251	0.0825	-0.0008	0.3068
G_noise	0.0028	0.0033	0.0026	0.0001	0.0061
RP_noise	0.0036	0.0129	0.0041	-0.0005	0.0165
BP_noise	0.0196	0.0347	0.0193	0.0004	0.0543
W1_noise	0.0482	0.2503	0.0695	-0.0213	0.2985
W2_noise	0.0913	0.1705	0.0839	0.0075	0.2618
