#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5448.2073	55.0547	59.1328	5389.0744	5503.2620
logg	4.2722	0.3544	0.3396	3.9326	4.6266
[Fe/H]	-0.1784	0.2738	0.2782	-0.4565	0.0954
dist	152.8547	3.1176	2.9258	149.9290	155.9723
rad	0.8778	0.0214	0.0206	0.8572	0.8992
Av	0.0900	0.0375	0.0423	0.0477	0.1275
grav_mass	0.4075	0.5585	0.2172	0.1903	0.9660
lum	0.6126	0.0376	0.0397	0.5729	0.6503
AD	0.0535	0.0016	0.0017	0.0518	0.0551
age	1.1641	4.3512	1.1313	0.0328	12.99933152111331
iso_mas	0.9389	0.0526	0.0615	0.7751	1.0719220534990508
eep	335.9143	20.4555	53.4482	193.3857	390.0224124138264
H_noise	0.1042	0.1006	0.0629	0.0413	0.2048
J_noise	0.0880	0.0950	0.0566	0.0314	0.1830
Ks_noise	0.0677	0.0680	0.0400	0.0277	0.1357
V_noise	0.0615	0.0615	0.0357	0.0258	0.1231
B_noise	0.1050	0.0897	0.0598	0.0452	0.1947
BT_noise	0.7664	0.9038	0.4895	0.2768	1.6701
VT_noise	1.0643	0.8852	0.5251	0.5392	1.9495
G_noise	0.0066	0.0050	0.0033	0.0033	0.0116
RP_noise	0.0082	0.0053	0.0041	0.0042	0.0135
BP_noise	0.0236	0.0106	0.0088	0.0148	0.0343
SDSS_g_noise	0.1103	0.1118	0.0589	0.0513	0.2221
SDSS_i_noise	0.1169	0.0859	0.0693	0.0475	0.2027
SDSS_r_noise	0.1067	0.1005	0.0613	0.0453	0.2072
W1_noise	0.0986	0.0937	0.0587	0.0399	0.1924
W2_noise	0.0845	0.0743	0.0509	0.0336	0.1588
