#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5449.2632	87.1966	85.4527	5363.8106	5536.4598
logg	4.5001	0.5420	0.9976	3.5025	5.0421
[Fe/H]	-0.0436	0.4692	0.6399	-0.6834	0.4256
dist	100.0628	1.8108	2.2489	97.8139	101.8736
rad	0.7892	0.0275	0.0308	0.7585	0.8168
Av	0.0183	0.0550	0.0516	-0.0333	0.0733
grav_mass	0.1592	1.0880	0.1125	0.0466	1.2471
lum	0.4937	0.0480	0.0490	0.4446	0.5417
AD	0.0734	0.0031	0.0031	0.0703	0.0766
age	0.5753	4.8123	0.5397	0.0356	5.3876
iso_mass	0.8589	0.0408	0.0546	0.8043	0.8997
eep	329.6498	24.4990	70.3561	259.2936	354.1488
H_noise	0.0540	0.1856	0.0629	-0.0089	0.2396
J_noise	0.0337	0.2006	0.0479	-0.0142	0.2343
Ks_noise	0.0414	0.1494	0.0506	-0.0091	0.1908
V_noise	0.0596	0.2837	0.0757	-0.0161	0.3433
B_noise	0.1212	0.2995	0.1085	0.0127	0.4206
BT_noise	0.1052	0.4499	0.1246	-0.0194	0.5551
VT_noise	0.0647	0.3175	0.0847	-0.0199	0.3823
G_noise	0.0019	0.0023	0.0015	0.0003	0.0041
RP_noise	0.0076	0.0082	0.0055	0.0021	0.0158
BP_noise	0.0095	0.0070	0.0081	0.0014	0.0165
SDSS_g_noise	0.1412	0.7239	0.1953	-0.0541	0.8651
SDSS_i_noise	0.1216	0.5781	0.1487	-0.0270	0.6997
SDSS_r_noise	0.0951	0.6193	0.1396	-0.0444	0.7144
W1_noise	0.0610	0.1723	0.0626	-0.0017	0.2333
W2_noise	0.0398	0.1879	0.0490	-0.0092	0.2277
