#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4707.4803	104.5303	84.9309	4622.5495	4812.0106
logg	4.5701	0.1427	0.1330	4.4370	4.7128
[Fe/H]	0.0516	0.2445	0.3117	-0.2600	0.2961
dist	6.5291	0.0279	0.0265	6.5026	6.5571
rad	0.8143	0.0420	0.0473	0.7670	0.8563
Av	0.0000	(FIXED)
grav_mass	0.8740	0.3502	0.2568	0.6172	1.2243
lum	0.2918	0.0434	0.0375	0.2543	0.3352
AD	1.1590	0.0615	0.0665	1.0925	1.2205
age	1.2516	8.7163	1.2131	0.0385	9.9680
iso_mass	0.8376	0.0439	0.0383	0.7993	0.8815
eep	342.6777	15.3849	52.9239	289.7538	358.0626
H_noise	0.4867	1.6245	0.5686	-0.0819	2.1112
J_noise	0.3770	1.7298	0.5104	-0.1334	2.1069
Ks_noise	0.4488	2.2883	0.6476	-0.1988	2.7371
U_noise	0.0518	0.1729	0.0576	-0.0058	0.2248
V_noise	0.0137	0.0685	0.0185	-0.0048	0.0822
B_noise	0.0597	0.0935	0.0454	0.0143	0.1532
BT_noise	0.0300	0.1290	0.0368	-0.0068	0.1590
VT_noise	0.0130	0.0693	0.0191	-0.0060	0.0823
b_noise	0.0543	0.2261	0.0686	-0.0144	0.2804
u_noise	1.3546	0.7132	0.4897	0.8649	2.0678
v_noise	0.2319	0.4432	0.1670	0.0649	0.6751
y_noise	0.0539	0.2083	0.0641	-0.0101	0.2622
G_noise	0.0063	0.0166	0.0064	-0.0002	0.0229
RP_noise	0.0214	0.0370	0.0206	0.0008	0.0584
BP_noise	0.0049	0.0188	0.0053	-0.0004	0.0237
