# Filter Magnitude Uncertainty
2MASS_H 3.4690 0.2260
2MASS_J 3.9810 0.2580
2MASS_Ks 3.2610 0.3040
GROUND_JOHNSON_U 7.4550 0.0300
GROUND_JOHNSON_V 5.5610 0.0300
GROUND_JOHNSON_B 6.5720 0.0300
TYCHO_B_MvB 6.8610 0.0300
TYCHO_V_MvB 5.6740 0.0300
STROMGREN_b 6.1340 0.0309
STROMGREN_u 8.6550 0.0882
STROMGREN_v 7.2550 0.0518
STROMGREN_y 5.5530 0.0300
GaiaDR2v2_G 5.2402 0.0300
GaiaDR2v2_RP 4.5804 0.0300
GaiaDR2v2_BP 5.7882 0.0300
