#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4718.4684	48.3524	50.9427	4667.5257	4766.8207
logg	4.5712	0.0908	0.0843	4.4869	4.6620
[Fe/H]	0.0263	0.1441	0.1601	-0.1338	0.1703
dist	6.5293	0.0181	0.0165	6.5128	6.5474
rad	0.8110	0.0262	0.0227	0.7883	0.8372
Av	0.0000	(FIXED)
grav_mass	0.8808	0.2203	0.1608	0.7199	1.1010
lum	0.2938	0.0230	0.0205	0.2733	0.3168
AD	1.1570	0.0356	0.0343	1.1227	1.1926
age	1.2516	8.7163	1.2131	0.0385	13.427537665940172
iso_mas	0.8376	0.0439	0.0383	0.7184	0.9268661840248811
eep	342.6777	15.3849	52.9239	189.4446	373.4474146303197
H_noise	0.8107	1.0162	0.5153	0.2955	1.8269
J_noise	0.6915	1.0742	0.4476	0.2439	1.7657
Ks_noise	0.7680	1.6876	0.5017	0.2663	2.4556
U_noise	0.0863	0.0979	0.0528	0.0335	0.1842
V_noise	0.0248	0.0459	0.0153	0.0096	0.0707
B_noise	0.0743	0.0539	0.0336	0.0408	0.1282
BT_noise	0.0530	0.0797	0.0314	0.0216	0.1327
VT_noise	0.0271	0.0436	0.0193	0.0079	0.0707
b_noise	0.0977	0.1363	0.0629	0.0348	0.2340
u_noise	1.4198	0.4342	0.3289	1.0909	1.8540
v_noise	0.3146	0.2520	0.1512	0.1634	0.5666
y_noise	0.0888	0.1397	0.0527	0.0361	0.2285
G_noise	0.0094	0.0093	0.0056	0.0038	0.0187
RP_noise	0.0246	0.0238	0.0144	0.0103	0.0485
BP_noise	0.0088	0.0108	0.0053	0.0035	0.0196
