#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5136.4197	43.2744	48.7988	5087.6209	5179.6941
logg	4.5761	0.3778	0.5930	3.9831	4.9540
[Fe/H]	-0.4974	0.2531	0.3415	-0.8388	-0.2443
dist	183.3865	18.1462	21.0114	162.3751	201.5328
rad	1.0700	0.1032	0.1346	0.9354	1.1732
Av	0.0608	0.0315	0.0368	0.0240	0.0923
grav_mass	0.6387	2.0155	0.3794	0.2593	2.6541
lum	0.7020	0.1580	0.1630	0.5390	0.8600
AD	0.0540	0.0083	0.0083	0.0456	0.0623
age	3.3531	8.9254	2.4668	0.1238	13.489576330705159
iso_mas	0.8236	0.1301	0.1113	0.6026	1.0697933985906674
eep	340.7822	51.7204	40.8758	213.1495	462.57537487479516
H_noise	0.1593	0.1254	0.0975	0.0618	0.2847
J_noise	0.0918	0.0885	0.0548	0.0371	0.1803
Ks_noise	0.0748	0.0882	0.0436	0.0313	0.1631
V_noise	0.2313	0.1422	0.1108	0.1205	0.3735
B_noise	0.3429	0.1951	0.1205	0.2223	0.5380
BT_noise	0.7091	0.5728	0.3273	0.3818	1.2819
VT_noise	0.7002	0.5284	0.3498	0.3504	1.2286
G_noise	0.0020	0.0015	0.0008	0.0013	0.0035
RP_noise	0.0088	0.0031	0.0024	0.0064	0.0119
BP_noise	0.0107	0.0097	0.0050	0.0057	0.0204
SDSS_g_noise	0.1467	0.0972	0.0555	0.0911	0.2439
SDSS_i_noise	0.2913	0.3082	0.1436	0.1477	0.5995
SDSS_r_noise	0.1626	0.0998	0.0802	0.0823	0.2624
W1_noise	0.1181	0.0669	0.0641	0.0540	0.1850
W2_noise	0.1010	0.0917	0.0579	0.0432	0.1928
