#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5928.9972	57.1397	55.0619	5873.9353	5986.1370
logg	4.2710	0.4026	0.3728	3.8982	4.6736
[Fe/H]	-0.3709	0.2614	0.2614	-0.6323	-0.1095
dist	235.1973	4.5203	5.1332	230.0642	239.7176
rad	1.2431	0.0304	0.0336	1.2095	1.2735
Av	0.0367	0.0290	0.0295	0.0072	0.0657
grav_mass	0.8083	1.2654	0.4821	0.3262	2.0737
lum	1.7156	0.1121	0.1079	1.6077	1.8277
AD	0.0492	0.0016	0.0016	0.0475	0.0508
age	7.8872	4.5780	3.4031	1.4050	13.478026082784815
iso_mas	0.9957	0.1214	0.1456	0.7939	1.2460442073111038
eep	422.1940	19.4997	29.4570	329.6741	453.31051089257073
H_noise	0.0894	0.0954	0.0549	0.0345	0.1848
J_noise	0.1179	0.1009	0.0651	0.0527	0.2188
Ks_noise	0.0928	0.0862	0.0561	0.0367	0.1790
V_noise	0.0542	0.0677	0.0317	0.0225	0.1219
B_noise	0.1277	0.1278	0.0771	0.0506	0.2555
BT_noise	0.1653	0.1948	0.1010	0.0643	0.3600
VT_noise	0.1559	0.1733	0.0990	0.0568	0.3292
G_noise	0.0031	0.0020	0.0015	0.0017	0.0051
RP_noise	0.0049	0.0030	0.0022	0.0027	0.0079
BP_noise	0.0119	0.0052	0.0046	0.0073	0.0171
SDSS_g_noise	0.1467	0.1524	0.0934	0.0533	0.2991
SDSS_i_noise	0.2136	0.2093	0.1339	0.0796	0.4228
SDSS_r_noise	0.0521	0.0605	0.0324	0.0198	0.1126
W1_noise	0.1071	0.0975	0.0623	0.0448	0.2046
W2_noise	0.0865	0.0968	0.0491	0.0374	0.1833
