#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5261.2267	93.8158	99.5596	5161.6671	5355.0425
logg	4.6004	0.6128	1.0867	3.5137	5.2132
[Fe/H]	0.2543	0.2915	0.7349	-0.4806	0.5458
dist	82.6023	1.5969	1.2688	81.3336	84.1992
rad	0.8088	0.0294	0.0334	0.7755	0.8382
Av	0.0324	0.0579	0.0673	-0.0349	0.0903
grav_mass	0.2130	1.5102	0.1678	0.0452	1.7232
lum	0.4448	0.0529	0.0437	0.4010	0.4976
AD	0.0906	0.0041	0.0037	0.0869	0.0947
age	1.3936	10.1929	1.3471	0.0465	11.5865
iso_mass	0.8716	0.0306	0.1050	0.7666	0.9022
eep	340.9912	29.3091	50.0698	290.9214	370.3003
H_noise	0.0623	0.3261	0.0815	-0.0192	0.3884
J_noise	0.0417	0.1887	0.0526	-0.0109	0.2304
Ks_noise	0.0507	0.1880	0.0572	-0.0066	0.2387
V_noise	0.1566	1.0197	0.2420	-0.0853	1.1763
B_noise	0.1017	0.2756	0.1033	-0.0016	0.3773
BT_noise	0.0801	0.4024	0.1199	-0.0397	0.4825
VT_noise	0.0493	0.2973	0.0758	-0.0264	0.3466
G_noise	0.0067	0.0039	0.0061	0.0006	0.0106
RP_noise	0.0066	0.0083	0.0061	0.0004	0.0148
BP_noise	0.0075	0.0073	0.0070	0.0005	0.0148
W1_noise	0.0469	0.2011	0.0571	-0.0101	0.2481
W2_noise	0.0391	0.1582	0.0472	-0.0081	0.1973
