#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5320.5176	88.7382	100.5699	5219.9476	5409.2558
logg	4.3412	0.8756	0.7323	3.6089	5.2168
[Fe/H]	-0.1382	0.5061	0.5366	-0.6748	0.3679
dist	67.3835	0.6393	0.6707	66.7128	68.0228
rad	0.8909	0.0425	0.0249	0.8660	0.9334
Av	0.0148	0.0716	0.0484	-0.0336	0.0864
grav_mass	0.3699	1.8034	0.3156	0.0543	2.1734
lum	0.5709	0.0694	0.0520	0.5189	0.6403
AD	0.1231	0.0057	0.0039	0.1192	0.1288
age	1.4111	6.8027	1.2478	0.1632	8.2137
iso_mass	0.9577	0.0376	0.0819	0.8758	0.9953
eep	344.1955	22.9759	49.0567	295.1388	367.1714
H_noise	0.1706	0.3974	0.1746	-0.0041	0.5680
J_noise	0.0375	0.2204	0.0484	-0.0109	0.2580
Ks_noise	0.0370	0.1355	0.0429	-0.0059	0.1725
V_noise	0.0817	0.0825	0.0541	0.0277	0.1642
B_noise	0.1184	0.3160	0.1238	-0.0054	0.4344
BT_noise	0.0635	0.2333	0.0747	-0.0112	0.2968
VT_noise	0.0950	0.1962	0.0837	0.0113	0.2912
G_noise	0.0015	0.0022	0.0016	-0.0001	0.0037
RP_noise	0.0138	0.0100	0.0105	0.0033	0.0238
BP_noise	0.0106	0.0086	0.0094	0.0011	0.0192
SDSS_g_noise	0.0439	0.2547	0.0566	-0.0127	0.2986
SDSS_i_noise	0.1315	0.1529	0.0987	0.0327	0.2844
SDSS_r_noise	0.0248	0.0478	0.0217	0.0032	0.0726
W1_noise	0.0441	0.2287	0.0549	-0.0108	0.2728
W2_noise	0.0324	0.1460	0.0414	-0.0089	0.1784
