#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5309.5622	58.8585	51.6303	5257.9319	5368.4208
logg	4.4199	0.4878	0.4401	3.9798	4.9077
[Fe/H]	-0.1121	0.2519	0.2834	-0.3955	0.1399
dist	67.3358	0.4193	0.3461	66.9898	67.7551
rad	0.8979	0.0208	0.0192	0.8787	0.9187
Av	0.0321	0.0285	0.0380	-0.0060	0.0606
grav_mass	0.5514	1.2404	0.3606	0.1909	1.7918
lum	0.5766	0.0369	0.0335	0.5431	0.6135
AD	0.1237	0.0031	0.0026	0.1211	0.1268
age	1.4111	6.8027	1.2478	0.0425	12.03770394624296
iso_mas	0.9577	0.0376	0.0819	0.8093	1.0300319410024128
eep	344.1955	22.9759	49.0567	193.9205	379.5908138980959
H_noise	0.2432	0.2239	0.1329	0.1102	0.4670
J_noise	0.0980	0.1192	0.0651	0.0328	0.2171
Ks_noise	0.0704	0.0768	0.0437	0.0268	0.1472
V_noise	0.0895	0.0478	0.0331	0.0564	0.1372
B_noise	0.1792	0.1856	0.0981	0.0811	0.3647
BT_noise	0.1070	0.1423	0.0635	0.0435	0.2493
VT_noise	0.1281	0.1151	0.0643	0.0638	0.2432
G_noise	0.0015	0.0013	0.0007	0.0008	0.0028
RP_noise	0.0136	0.0059	0.0060	0.0076	0.0195
BP_noise	0.0107	0.0049	0.0055	0.0052	0.0156
SDSS_g_noise	0.1059	0.1464	0.0692	0.0367	0.2523
SDSS_i_noise	0.1515	0.0881	0.0603	0.0912	0.2396
SDSS_r_noise	0.0349	0.0239	0.0160	0.0189	0.0588
W1_noise	0.1096	0.1166	0.0675	0.0421	0.2262
W2_noise	0.0685	0.0780	0.0422	0.0263	0.1465
