#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6082.8057	59.7741	67.5707	6015.2349	6142.5798
logg	4.1587	0.3700	0.3131	3.8456	4.5287
[Fe/H]	-0.0932	0.2245	0.2481	-0.3413	0.1312
dist	114.4076	1.6794	1.5728	112.8349	116.0870
rad	1.1592	0.0278	0.0273	1.1319	1.1870
Av	0.0247	0.0246	0.0322	-0.0075	0.0492
grav_mass	0.5797	0.7745	0.3037	0.2759	1.3542
lum	1.6445	0.1151	0.0940	1.5505	1.7596
AD	0.0942	0.0027	0.0026	0.0916	0.0969
age	4.7136	4.3437	2.8367	0.1927	13.400979413149976
iso_mas	1.0474	0.1032	0.1533	0.7878	1.2539261788871754
eep	401.3733	22.8635	58.0856	257.3952	442.1568508447021
H_noise	0.2186	0.1969	0.1312	0.0874	0.4155
J_noise	0.1016	0.1161	0.0624	0.0392	0.2176
Ks_noise	0.1825	0.1867	0.1133	0.0692	0.3692
V_noise	0.0489	0.0475	0.0313	0.0175	0.0963
B_noise	0.0916	0.1035	0.0542	0.0374	0.1952
BT_noise	0.0951	0.0914	0.0562	0.0389	0.1865
VT_noise	0.0953	0.0847	0.0500	0.0452	0.1800
G_noise	0.0021	0.0011	0.0009	0.0012	0.0032
RP_noise	0.0087	0.0037	0.0035	0.0052	0.0124
BP_noise	0.0089	0.0031	0.0029	0.0060	0.0120
W1_noise	0.1324	0.1152	0.0712	0.0611	0.2475
W2_noise	0.0990	0.0878	0.0524	0.0466	0.1868
