#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5111.3582	102.7036	95.7406	5015.6176	5214.0618
logg	4.1232	0.9804	0.6246	3.4986	5.1036
[Fe/H]	0.2522	0.3007	0.9282	-0.6759	0.5529
dist	59.2285	0.5245	0.4954	58.7331	59.7530
rad	0.7908	0.0290	0.0326	0.7582	0.8198
Av	0.0026	0.0688	0.0554	-0.0528	0.0714
grav_mass	0.2148	1.0016	0.1727	0.0421	1.2164
lum	0.3826	0.0456	0.0406	0.3420	0.4282
AD	0.1241	0.0048	0.0051	0.1190	0.1289
age	1.2958	6.4269	1.2509	0.0449	7.7227
iso_mass	0.8514	0.0362	0.0543	0.7971	0.8876
eep	337.6229	17.4873	52.4619	285.1610	355.1102
H_noise	0.0974	0.2329	0.0961	0.0013	0.3303
J_noise	0.0321	0.1911	0.0448	-0.0127	0.2232
Ks_noise	0.0483	0.1966	0.0621	-0.0138	0.2449
V_noise	0.0352	0.1970	0.0534	-0.0182	0.2322
B_noise	0.0825	0.1126	0.0814	0.0011	0.1951
BT_noise	0.0932	0.3933	0.1041	-0.0109	0.4865
VT_noise	0.0367	0.1458	0.0476	-0.0108	0.1826
G_noise	0.0012	0.0037	0.0013	-0.0001	0.0049
RP_noise	0.0140	0.0177	0.0136	0.0003	0.0317
BP_noise	0.0208	0.0123	0.0161	0.0047	0.0331
SDSS_g_noise	0.5392	2.6510	0.6856	-0.1464	3.1903
W1_noise	0.0594	0.2203	0.0661	-0.0067	0.2797
W2_noise	0.0443	0.1511	0.0496	-0.0054	0.1953
