#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5118.7153	47.1882	52.7397	5065.9756	5165.9035
logg	4.3182	0.3568	0.3925	3.9258	4.6750
[Fe/H]	0.0181	0.2731	0.3568	-0.3387	0.2913
dist	59.2177	0.2724	0.2456	58.9722	59.4901
rad	0.7899	0.0164	0.0160	0.7738	0.8062
Av	0.0087	0.0305	0.0285	-0.0198	0.0392
grav_mass	0.3372	0.5218	0.1905	0.1467	0.8591
lum	0.3851	0.0221	0.0217	0.3634	0.4071
AD	0.1241	0.0026	0.0026	0.1215	0.1266
age	1.2958	6.4269	1.2509	0.0449	12.898761547531072
iso_mas	0.8514	0.0362	0.0543	0.7347	0.934552761372789
eep	337.6229	17.4873	52.4619	194.8100	368.51709501791584
H_noise	0.1524	0.1137	0.0752	0.0771	0.2661
J_noise	0.0844	0.0970	0.0510	0.0335	0.1814
Ks_noise	0.1055	0.1053	0.0621	0.0434	0.2108
V_noise	0.0895	0.1160	0.0590	0.0305	0.2055
B_noise	0.0890	0.0641	0.0400	0.0491	0.1532
BT_noise	0.1945	0.2030	0.1105	0.0840	0.3975
VT_noise	0.0738	0.0917	0.0437	0.0301	0.1655
G_noise	0.0022	0.0015	0.0012	0.0010	0.0038
RP_noise	0.0155	0.0087	0.0070	0.0084	0.0242
BP_noise	0.0196	0.0072	0.0071	0.0125	0.0269
SDSS_g_noise	1.2405	1.4667	0.7662	0.4743	2.7072
W1_noise	0.1210	0.1087	0.0689	0.0521	0.2297
W2_noise	0.0814	0.0773	0.0470	0.0344	0.1587
