#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3638.4414	29.3388	28.2522	3610.1892	3667.7802
logg	4.6658	0.1597	0.1778	4.4881	4.8255
[Fe/H]	0.1512	0.1318	0.1032	0.0481	0.2831
dist	6.8655	0.0072	0.0069	6.8587	6.8727
rad	0.5853	0.0111	0.0109	0.5744	0.5964
Av	0.0000	(FIXED)
grav_mass	0.5555	0.2417	0.1943	0.3612	0.7971
lum	0.0541	0.0027	0.0026	0.0515	0.0568
AD	0.7930	0.0149	0.0149	0.7780	0.8079
age	0.0591	10.5447	0.0451	0.0140	13.442683972990176
iso_mas	0.5830	0.0287	0.0990	0.3628	0.6385407741500234
eep	172.5954	156.8100	11.4592	153.2957	333.6271546904985
J_noise	0.0442	0.0694	0.0319	0.0122	0.1136
Ks_noise	0.0554	0.0677	0.0319	0.0235	0.1231
U_noise	0.0938	0.0820	0.0467	0.0471	0.1759
V_noise	0.0629	0.0602	0.0398	0.0231	0.1231
B_noise	0.0309	0.0293	0.0194	0.0115	0.0602
BT_noise	0.2509	0.2042	0.1097	0.1412	0.4552
VT_noise	0.0741	0.0625	0.0375	0.0366	0.1365
G_noise	0.0066	0.0047	0.0036	0.0030	0.0113
RP_noise	0.0226	0.0131	0.0085	0.0140	0.0357
BP_noise	0.0125	0.0102	0.0075	0.0050	0.0226
W1_noise	1.1454	1.6197	0.8677	0.2777	2.7651
W2_noise	0.3000	0.3274	0.1871	0.1129	0.6274
