#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3651.5756	36.3061	61.4980	3590.0776	3687.8816
logg	4.7243	0.1812	0.3364	4.3879	4.9055
[Fe/H]	0.1637	0.1981	0.1811	-0.0174	0.3618
dist	6.8661	0.0107	0.0117	6.8543	6.8768
rad	0.5817	0.0214	0.0137	0.5679	0.6031
Av	0.0000	(FIXED)
grav_mass	0.5116	0.4063	0.2519	0.2597	0.9179
lum	0.0543	0.0043	0.0046	0.0497	0.0585
AD	0.7876	0.0294	0.0186	0.7690	0.8169
age	0.0591	10.5447	0.0451	0.0140	10.6037
iso_mass	0.5830	0.0287	0.0990	0.4840	0.6117
eep	172.5954	156.8100	11.4592	161.1362	329.4053
J_noise	0.0256	0.1007	0.0343	-0.0086	0.1263
Ks_noise	0.0450	0.0953	0.0466	-0.0017	0.1403
U_noise	0.0949	0.1144	0.0916	0.0033	0.2093
V_noise	0.0373	0.1092	0.0354	0.0019	0.1465
B_noise	0.0197	0.0529	0.0196	0.0000	0.0726
BT_noise	0.2522	0.2662	0.1836	0.0686	0.5184
VT_noise	0.0451	0.1171	0.0377	0.0073	0.1622
G_noise	0.0060	0.0073	0.0057	0.0003	0.0133
RP_noise	0.0209	0.0205	0.0133	0.0076	0.0414
BP_noise	0.0071	0.0204	0.0074	-0.0004	0.0275
W1_noise	0.5394	2.5411	0.7260	-0.1867	3.0805
W2_noise	0.1799	0.5500	0.1860	-0.0061	0.7299
