#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5848.7484	78.3398	82.5366	5766.2118	5927.0881
logg	4.2282	0.3837	0.3448	3.8834	4.6119
[Fe/H]	-0.1035	0.2553	0.3419	-0.4454	0.1518
dist	113.7091	1.1585	1.0297	112.6794	114.8675
rad	1.1282	0.0352	0.0324	1.0958	1.1634
Av	0.0330	0.0324	0.0347	-0.0017	0.0654
grav_mass	0.6204	0.9063	0.3399	0.2806	1.5267
lum	1.3404	0.1097	0.1061	1.2343	1.4501
AD	0.0925	0.0027	0.0030	0.0895	0.0952
age	2.4990	4.1925	2.0742	0.0277	13.178748829039431
iso_mas	1.1396	0.0539	0.1576	0.8372	1.2602599031604511
eep	347.2474	57.2613	21.6665	198.6774	430.04417109348134
H_noise	0.2256	0.2280	0.1417	0.0838	0.4536
J_noise	0.1162	0.0799	0.0672	0.0490	0.1962
Ks_noise	0.1042	0.0768	0.0573	0.0469	0.1809
V_noise	0.0910	0.1181	0.0563	0.0347	0.2090
B_noise	0.1974	0.1729	0.1153	0.0822	0.3703
BT_noise	0.1694	0.1162	0.0818	0.0876	0.2856
VT_noise	0.0943	0.1056	0.0535	0.0407	0.1999
G_noise	0.0018	0.0010	0.0007	0.0010	0.0028
RP_noise	0.0098	0.0047	0.0041	0.0057	0.0145
BP_noise	0.0099	0.0041	0.0038	0.0061	0.0140
