# Filter Magnitude Uncertainty
2MASS_H 8.3750 0.0590
2MASS_J 8.6600 0.0300
2MASS_Ks 8.2630 0.0300
GROUND_JOHNSON_V 9.7880 0.0300
GROUND_JOHNSON_B 10.4080 0.0440
TYCHO_B_MvB 10.4950 0.0310
TYCHO_V_MvB 9.8410 0.0300
GaiaDR2v2_G 9.6602 0.0300
GaiaDR2v2_RP 9.1958 0.0300
GaiaDR2v2_BP 9.9963 0.0300
