#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4484.2186	64.7189	106.6987	4377.5199	4548.9375
logg	5.3079	0.2110	0.7912	4.5167	5.5189
[Fe/H]	0.3462	0.2763	0.8618	-0.5156	0.6225
dist	74.3632	1.2890	1.3964	72.9668	75.6522
rad	0.6888	0.0379	0.0222	0.6666	0.7267
Av	0.0181	0.0552	0.0511	-0.0330	0.0734
grav_mass	1.3140	3.6461	1.2360	0.0780	4.9601
lum	0.1715	0.0232	0.0192	0.1523	0.1947
AD	0.0863	0.0049	0.0035	0.0828	0.0913
age	2.7987	6.6431	2.5585	0.2402	9.4418
iso_mass	0.7355	0.0405	0.0353	0.7001	0.7760
eep	332.4916	12.9512	51.2866	281.2050	345.4428
H_noise	0.1043	0.2070	0.0924	0.0120	0.3114
J_noise	0.0439	0.2331	0.0598	-0.0159	0.2769
Ks_noise	0.0520	0.2263	0.0580	-0.0060	0.2783
V_noise	0.0368	0.1683	0.0466	-0.0098	0.2051
B_noise	0.1196	0.2225	0.1254	-0.0058	0.3421
BT_noise	0.2839	1.4830	0.4305	-0.1466	1.7669
VT_noise	0.5008	1.3235	0.4282	0.0726	1.8243
G_noise	0.0075	0.0058	0.0069	0.0006	0.0133
RP_noise	0.0051	0.0062	0.0047	0.0004	0.0113
BP_noise	0.0035	0.0156	0.0037	-0.0001	0.0191
SDSS_g_noise	0.0572	0.2584	0.0844	-0.0271	0.3156
SDSS_i_noise	0.1001	0.5218	0.1248	-0.0247	0.6219
SDSS_r_noise	0.0378	0.2096	0.0517	-0.0139	0.2474
W1_noise	0.0398	0.1917	0.0467	-0.0069	0.2315
W2_noise	0.0429	0.2015	0.0473	-0.0044	0.2444
