#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4475.6545	46.5540	69.8310	4405.8235	4522.2084
logg	5.0527	0.3434	0.4277	4.6250	5.3961
[Fe/H]	0.0213	0.4476	0.3600	-0.3387	0.4689
dist	74.3556	0.9660	1.0168	73.3388	75.3216
rad	0.6934	0.0241	0.0180	0.6754	0.7176
Av	0.0181	0.0394	0.0387	-0.0207	0.0575
grav_mass	1.7817	2.1889	1.3963	0.3854	3.9706
lum	0.1729	0.0147	0.0136	0.1593	0.1876
AD	0.0868	0.0032	0.0026	0.0842	0.0900
age	2.7987	6.6431	2.5585	0.0606	13.436665450611004
iso_mas	0.7355	0.0405	0.0353	0.6667	0.8070636211548319
eep	332.4916	12.9512	51.2866	193.6552	348.0329866869659
H_noise	0.1257	0.1470	0.0800	0.0457	0.2727
J_noise	0.0838	0.1762	0.0690	0.0147	0.2600
Ks_noise	0.0841	0.1655	0.0591	0.0250	0.2496
V_noise	0.0548	0.1296	0.0423	0.0125	0.1844
B_noise	0.1357	0.1662	0.0950	0.0407	0.3019
BT_noise	0.3943	1.2324	0.3081	0.0862	1.6267
VT_noise	0.9941	0.6090	0.7130	0.2811	1.6031
G_noise	0.0066	0.0050	0.0042	0.0024	0.0116
RP_noise	0.0057	0.0042	0.0039	0.0018	0.0098
BP_noise	0.0057	0.0110	0.0031	0.0025	0.0167
SDSS_g_noise	0.0782	0.2050	0.0591	0.0190	0.2832
SDSS_i_noise	0.1483	0.4271	0.1161	0.0322	0.5754
SDSS_r_noise	0.0580	0.1672	0.0464	0.0117	0.2253
W1_noise	0.0607	0.1428	0.0452	0.0155	0.2035
W2_noise	0.0906	0.1180	0.0686	0.0220	0.2087
