#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5773.5931	59.8010	90.3377	5683.2554	5833.3941
logg	4.3492	0.1960	0.1802	4.1690	4.5451
[Fe/H]	0.0088	0.1823	0.1519	-0.1431	0.1910
dist	14.1086	0.1042	0.0906	14.0181	14.2129
rad	1.0400	0.0395	0.0289	1.0110	1.0794
Av	0.0000	(FIXED)
grav_mass	0.8270	0.4819	0.2876	0.5394	1.3089
lum	1.0810	0.0900	0.0881	0.9929	1.1710
AD	0.6850	0.0265	0.0196	0.6655	0.7115
age	1.3705	9.4479	1.1697	0.0208	13.427850025429196
iso_mas	0.9935	0.1487	0.0919	0.8496	1.209903750668901
eep	404.8579	21.1256	91.5441	190.9615	454.15093788520227
H_noise	0.5706	0.7227	0.3679	0.2027	1.2933
U_noise	0.0870	0.1282	0.0526	0.0345	0.2153
V_noise	0.0169	0.0207	0.0101	0.0068	0.0376
B_noise	0.0267	0.0242	0.0143	0.0124	0.0509
BT_noise	0.0547	0.0806	0.0358	0.0189	0.1353
VT_noise	0.0251	0.0414	0.0161	0.0090	0.0665
b_noise	0.0537	0.0840	0.0336	0.0201	0.1377
u_noise	0.7955	0.1298	0.1118	0.6837	0.9253
v_noise	0.1602	0.0994	0.0637	0.0966	0.2596
y_noise	0.0552	0.0718	0.0331	0.0221	0.1270
G_noise	0.0122	0.0107	0.0073	0.0050	0.0230
RP_noise	0.0252	0.0206	0.0147	0.0105	0.0458
BP_noise	0.0113	0.0122	0.0066	0.0047	0.0235
