# Filter Magnitude Uncertainty
2MASS_H 4.1620 0.1780
GROUND_JOHNSON_U 6.3290 0.0300
GROUND_JOHNSON_V 5.4860 0.0300
GROUND_JOHNSON_B 6.1700 0.0300
TYCHO_B_MvB 6.2920 0.0300
TYCHO_V_MvB 5.5700 0.0300
STROMGREN_b 5.9050 0.0300
STROMGREN_u 7.4810 0.0300
STROMGREN_v 6.5220 0.0300
STROMGREN_y 5.5030 0.0300
GaiaDR2v2_G 5.3313 0.0300
GaiaDR2v2_RP 4.8664 0.0300
GaiaDR2v2_BP 5.6745 0.0300
