#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3352.5342	155.1052	102.4092	3250.1250	3507.6394
logg	5.0287	0.4697	1.1709	3.8579	5.4984
[Fe/H]	-0.2598	0.6698	0.7197	-0.9796	0.4099
dist	38.1866	0.2602	0.3382	37.8484	38.4468
rad	0.4263	0.0309	0.0289	0.3974	0.4572
Av	0.0000	(FIXED)
grav_mass	0.6513	1.0214	0.6311	0.0202	1.6726
lum	0.0205	0.0038	0.0029	0.0176	0.0244
AD	0.1039	0.0078	0.0070	0.0969	0.1117
age	2.7917	9.2135	2.3820	0.0502	13.44345084949586
iso_mas	0.4141	0.0132	0.0107	0.3109	0.4598142366855694
eep	307.6788	10.2059	44.9058	166.3276	318.9052221564285
H_noise	0.0355	0.1779	0.0321	0.0034	0.2134
J_noise	0.0211	0.1646	0.0208	0.0003	0.1857
Ks_noise	0.0890	0.1295	0.0888	0.0003	0.2186
V_noise	0.0302	0.1229	0.0301	0.0001	0.1531
B_noise	0.0465	0.2680	0.0456	0.0009	0.3145
G_noise	0.0040	0.0052	0.0037	0.0003	0.0092
RP_noise	0.0188	0.0080	0.0064	0.0124	0.0268
BP_noise	0.0210	0.0164	0.0203	0.0007	0.0374
SDSS_g_noise	0.2232	0.1897	0.1617	0.0615	0.4129
SDSS_i_noise	0.1167	0.2215	0.1037	0.0130	0.3381
SDSS_r_noise	0.0200	0.1333	0.0197	0.0003	0.1532
W1_noise	0.0440	0.1134	0.0430	0.0010	0.1574
W2_noise	0.1092	0.1510	0.0872	0.0220	0.2603
