#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3353.2404	153.2775	110.9081	3242.3323	3506.5179
logg	5.0374	0.5272	1.1779	3.8595	5.5645
[Fe/H]	-0.2984	0.6961	0.7170	-1.0153	0.3977
dist	38.1827	0.2899	0.3439	37.8388	38.4726
rad	0.4264	0.0330	0.0288	0.3976	0.4594
Av	0.0000	(FIXED)
grav_mass	0.5913	1.1410	0.5777	0.0136	1.7323
lum	0.0206	0.0039	0.0031	0.0175	0.0245
AD	0.1039	0.0082	0.0044	0.0995	0.1121
age	2.7917	9.2135	2.3820	0.4097	12.0052
iso_mass	0.4141	0.0132	0.0107	0.4034	0.4273
eep	307.6788	10.2059	44.9058	262.7730	317.8846
H_noise	0.0519	0.1805	0.0613	-0.0094	0.2324
J_noise	0.0301	0.1698	0.0451	-0.0150	0.1999
Ks_noise	0.0887	0.1384	0.0979	-0.0093	0.2271
V_noise	0.0352	0.1360	0.0483	-0.0132	0.1711
B_noise	0.0921	0.2435	0.1057	-0.0137	0.3355
G_noise	0.0042	0.0046	0.0041	0.0001	0.0088
RP_noise	0.0186	0.0086	0.0068	0.0118	0.0272
BP_noise	0.0194	0.0173	0.0194	-0.0001	0.0367
SDSS_g_noise	0.1982	0.2294	0.1470	0.0512	0.4275
SDSS_i_noise	0.1065	0.2469	0.1021	0.0043	0.3533
SDSS_r_noise	0.0305	0.1341	0.0374	-0.0070	0.1646
W1_noise	0.0366	0.1342	0.0479	-0.0113	0.1708
W2_noise	0.0991	0.1683	0.0893	0.0099	0.2675
