#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5777.7487	123.7069	133.0433	5644.7054	5901.4557
logg	4.2362	0.9010	0.7301	3.5061	5.1372
[Fe/H]	0.0315	0.4007	0.6781	-0.6466	0.4322
dist	83.7565	1.7330	1.4520	82.3045	85.4895
rad	1.1293	0.0417	0.0518	1.0775	1.1710
Av	0.0096	0.0678	0.0546	-0.0449	0.0774
grav_mass	0.4526	2.2874	0.3574	0.0952	2.7400
lum	1.2659	0.1583	0.1548	1.1111	1.4242
AD	0.1246	0.0057	0.0057	0.1189	0.1303
age	6.1159	6.0223	3.0112	3.1048	12.1382
iso_mass	1.0006	0.1157	0.1394	0.8612	1.1163
eep	407.0507	19.6603	54.6120	352.4387	426.7111
H_noise	0.0501	0.2305	0.0629	-0.0128	0.2806
J_noise	0.0420	0.2127	0.0561	-0.0141	0.2547
Ks_noise	0.0573	0.2497	0.0696	-0.0123	0.3070
V_noise	0.0269	0.1617	0.0355	-0.0086	0.1886
B_noise	0.1434	0.6941	0.1893	-0.0459	0.8374
BT_noise	0.0434	0.2087	0.0529	-0.0095	0.2520
VT_noise	0.0286	0.1327	0.0367	-0.0081	0.1613
G_noise	0.0024	0.0029	0.0023	0.0002	0.0053
RP_noise	0.0223	0.0227	0.0157	0.0066	0.0450
BP_noise	0.0116	0.0207	0.0113	0.0003	0.0323
W1_noise	0.0922	0.2690	0.0921	0.0001	0.3613
W2_noise	0.0388	0.1582	0.0452	-0.0064	0.1969
