# Filter Magnitude Uncertainty
2MASS_H 7.9760 0.0400
2MASS_J 8.3500 0.0300
2MASS_Ks 7.8740 0.0300
GROUND_JOHNSON_V 9.7500 0.0320
GROUND_JOHNSON_B 10.5350 0.0300
TYCHO_B_MvB 10.7590 0.0430
TYCHO_V_MvB 9.8340 0.0300
GaiaDR2v2_G 9.5537 0.0300
GaiaDR2v2_RP 9.0046 0.0300
GaiaDR2v2_BP 9.9757 0.0300
WISE_RSR_W1 7.8120 0.0300
WISE_RSR_W2 7.8760 0.0300
