#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5323.7412	59.3290	51.0230	5272.7183	5383.0703
logg	4.5459	0.3584	0.5973	3.9486	4.9042
[Fe/H]	-0.1887	0.2947	0.3074	-0.4961	0.1061
dist	60.2363	0.8005	0.6061	59.6302	61.0368
rad	0.7701	0.0179	0.0159	0.7541	0.7880
Av	0.0227	0.0312	0.0404	-0.0178	0.0539
grav_mass	0.3463	0.9790	0.2363	0.1100	1.3253
lum	0.4304	0.0269	0.0253	0.4051	0.4573
AD	0.1187	0.0031	0.0028	0.1159	0.1218
age	0.9403	9.7058	0.8987	0.0417	13.432071218059065
iso_mas	0.8342	0.0410	0.0695	0.7091	0.9271708908328811
eep	331.7517	36.7638	50.0229	198.5583	378.1584479009598
H_noise	0.1218	0.1592	0.0739	0.0479	0.2809
J_noise	0.0744	0.1176	0.0474	0.0270	0.1920
Ks_noise	0.0620	0.0882	0.0370	0.0250	0.1503
V_noise	0.1057	0.1306	0.0711	0.0346	0.2363
B_noise	0.0833	0.1244	0.0481	0.0352	0.2077
BT_noise	0.1258	0.1585	0.0792	0.0465	0.2843
VT_noise	0.0823	0.1328	0.0558	0.0265	0.2151
G_noise	0.0024	0.0020	0.0013	0.0010	0.0043
RP_noise	0.0095	0.0064	0.0047	0.0048	0.0159
BP_noise	0.0167	0.0081	0.0067	0.0101	0.0248
W1_noise	0.1100	0.1129	0.0692	0.0408	0.2229
W2_noise	0.0777	0.0816	0.0480	0.0297	0.1593
