#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3632.4492	136.8973	77.1603	3555.2889	3769.3466
logg	4.6635	0.3761	0.4030	4.2605	5.0396
[Fe/H]	0.0941	0.2512	0.2555	-0.1614	0.3453
dist	6.8660	0.0127	0.0134	6.8527	6.8787
rad	0.5777	0.0427	0.0695	0.5081	0.6203
Av	0.0000	(FIXED)
grav_mass	0.3576	0.6563	0.1945	0.1631	1.0139
lum	0.0531	0.0112	0.0139	0.0391	0.0642
AD	0.7825	0.0578	0.0941	0.6884	0.8402
age	3.2105	8.6972	3.0643	0.1462	11.9077
iso_mass	0.5807	0.0337	0.0247	0.5559	0.6144
eep	320.2964	13.0612	47.8911	272.4054	333.3576
J_noise	0.0659	0.1885	0.0694	-0.0035	0.2544
Ks_noise	0.0842	0.1225	0.0811	0.0031	0.2068
U_noise	0.0580	0.1278	0.0611	-0.0030	0.1859
V_noise	0.0448	0.1229	0.0480	-0.0032	0.1677
B_noise	0.0392	0.0706	0.0315	0.0077	0.1098
BT_noise	0.1568	0.2958	0.1191	0.0377	0.4526
VT_noise	0.0656	0.1752	0.0678	-0.0023	0.2407
W1_noise	0.4790	2.7104	0.7432	-0.2642	3.1894
W2_noise	0.2067	0.5887	0.2258	-0.0191	0.7954
