# Filter Magnitude Uncertainty
2MASS_J 5.3600 0.0300
2MASS_Ks 4.5230 0.0300
GROUND_JOHNSON_U 11.3590 0.0300
GROUND_JOHNSON_V 8.6940 0.0300
GROUND_JOHNSON_B 10.0720 0.0300
TYCHO_B_MvB 10.5200 0.0390
TYCHO_V_MvB 8.8790 0.0300
WISE_RSR_W1 4.3960 0.3530
WISE_RSR_W2 4.1720 0.0770
