#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4700.9660	48.8074	72.5139	4628.4521	4749.7734
logg	4.2742	0.9920	0.6694	3.6048	5.2661
[Fe/H]	0.2681	0.3028	0.8296	-0.5615	0.5709
dist	39.0239	0.3041	0.2656	38.7583	39.3281
rad	0.7291	0.0300	0.0209	0.7082	0.7590
Av	0.0000	(FIXED)
grav_mass	0.2315	1.2207	0.1927	0.0387	1.4522
lum	0.2329	0.0235	0.0194	0.2135	0.2563
AD	0.1738	0.0072	0.0053	0.1685	0.1810
age	2.8787	6.7799	2.8287	0.0501	9.6586
iso_mass	0.7821	0.0325	0.0412	0.7409	0.8146
eep	335.2655	15.9875	46.8598	288.4057	351.2530
H_noise	0.0712	0.2275	0.0758	-0.0046	0.2987
J_noise	0.0307	0.1647	0.0419	-0.0112	0.1954
Ks_noise	0.0393	0.2043	0.0489	-0.0096	0.2436
V_noise	0.0230	0.1085	0.0292	-0.0061	0.1315
B_noise	0.0552	0.1070	0.0528	0.0024	0.1621
BT_noise	0.1491	0.4016	0.1569	-0.0078	0.5507
VT_noise	0.0389	0.2109	0.0562	-0.0174	0.2498
G_noise	0.0015	0.0025	0.0013	0.0002	0.0040
RP_noise	0.0048	0.0084	0.0050	-0.0002	0.0132
BP_noise	0.0135	0.0069	0.0091	0.0043	0.0203
W1_noise	0.1565	0.3548	0.1234	0.0330	0.5113
W2_noise	0.0331	0.1487	0.0410	-0.0079	0.1818
