#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4692.3321	29.6161	32.9068	4659.4253	4721.9483
logg	4.4024	0.4653	0.4154	3.9870	4.8677
[Fe/H]	0.0258	0.2524	0.2607	-0.2349	0.2782
dist	39.0430	0.1581	0.1528	38.8902	39.2011
rad	0.7336	0.0139	0.0139	0.7197	0.7475
Av	0.0000	(FIXED)
grav_mass	0.3527	0.6862	0.2160	0.1367	1.0389
lum	0.2339	0.0121	0.0101	0.2238	0.2460
AD	0.1747	0.0034	0.0034	0.1714	0.1781
age	2.8787	6.7799	2.8287	0.0501	13.430180381605036
iso_mas	0.7821	0.0325	0.0412	0.7019	0.8634303416010545
eep	335.2655	15.9875	46.8598	193.0321	357.31720175294885
H_noise	0.1292	0.1139	0.0699	0.0593	0.2431
J_noise	0.0773	0.0894	0.0513	0.0260	0.1667
Ks_noise	0.0889	0.1064	0.0541	0.0348	0.1953
V_noise	0.0521	0.0592	0.0346	0.0175	0.1114
B_noise	0.0748	0.0582	0.0385	0.0363	0.1331
BT_noise	0.2258	0.2284	0.1249	0.1009	0.4541
VT_noise	0.0867	0.1253	0.0571	0.0296	0.2120
G_noise	0.0020	0.0011	0.0010	0.0011	0.0032
RP_noise	0.0062	0.0040	0.0034	0.0027	0.0101
BP_noise	0.0128	0.0042	0.0045	0.0083	0.0170
W1_noise	0.2336	0.1853	0.1046	0.1290	0.4190
W2_noise	0.0737	0.0766	0.0444	0.0294	0.1504
