#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4474.7280	38.5835	52.8426	4421.8854	4513.3115
logg	4.9668	0.3100	0.6370	4.3299	5.2769
[Fe/H]	0.0660	0.2914	0.3653	-0.2993	0.3574
dist	85.3822	0.5099	0.4370	84.9452	85.8921
rad	0.7146	0.0202	0.0137	0.7010	0.7348
Av	0.0132	0.0270	0.0372	-0.0241	0.0402
grav_mass	0.7365	2.0799	0.5081	0.2284	2.8164
lum	0.1848	0.0118	0.0113	0.1735	0.1966
AD	0.0779	0.0022	0.0016	0.0763	0.0801
age	1.7677	7.9477	1.7063	0.0614	13.442324977838025
iso_mas	0.7553	0.0318	0.0364	0.6867	0.8128488310219073
eep	334.8573	13.6000	55.9691	193.6267	350.026460116855
H_noise	0.1089	0.1680	0.0657	0.0432	0.2769
J_noise	0.0730	0.1441	0.0486	0.0243	0.2170
Ks_noise	0.1185	0.1091	0.0804	0.0381	0.2276
V_noise	0.1594	0.2488	0.1056	0.0538	0.4082
B_noise	0.1092	0.1062	0.0510	0.0582	0.2154
BT_noise	1.1019	1.8171	0.8220	0.2799	2.9191
VT_noise	0.8097	0.9288	0.4573	0.3524	1.7385
G_noise	0.0019	0.0012	0.0012	0.0007	0.0031
RP_noise	0.0068	0.0041	0.0031	0.0037	0.0109
BP_noise	0.0179	0.0113	0.0084	0.0095	0.0292
SDSS_g_noise	0.1484	0.1683	0.0889	0.0595	0.3167
SDSS_i_noise	0.0867	0.1451	0.0528	0.0339	0.2317
SDSS_r_noise	0.0348	0.0196	0.0138	0.0210	0.0543
W1_noise	0.0960	0.0925	0.0590	0.0370	0.1884
W2_noise	0.1174	0.0915	0.0808	0.0366	0.2089
